	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
    WBS NL-N-TS2-002-03-29         Electronic controlle	                  0	            9000000	           -9000000	                  0	                  0	                  0	                  0	                  0	                  0	            9000000	           -9000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9000000	           -9000000	                  0
    WBS NL-N-TS2-002-04            ELECTRICAL MAINTENAN	         1431821491	          753362108	          678459383	               47.4	          996566787	          683541907	          313024880	               31.4	          435254704	           69820201	          365434503	               84.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1431821491	          753362108	          678459383	               47.4
    WBS NL-N-TS2-002-04-01         LHS CONTROLS	          701072073	           15941739	          685130334	               97.7	          265817369	           15941739	          249875630	               94.0	          435254704	                  0	          435254704	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          701072073	           15941739	          685130334	               97.7
    WBS NL-N-TS2-002-04-01-01       Bunker Level Transm	          701072073	                  0	          701072073	              100.0	          265817369	                  0	          265817369	              100.0	          435254704	                  0	          435254704	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          701072073	                  0	          701072073	              100.0
    WBS NL-N-TS2-002-04-01-02       Bunker Level Transm	                  0	            5130640	           -5130640	                  0	                  0	            5130640	           -5130640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5130640	           -5130640	                  0
    WBS NL-N-TS2-002-04-01-04      HMI Hardware Worksta	                  0	             700500	            -700500	                  0	                  0	             700500	            -700500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             700500	            -700500	                  0
    WBS NL-N-TS2-002-04-01-13      Procurement of Magne	                  0	            9192000	           -9192000	                  0	                  0	            9192000	           -9192000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9192000	           -9192000	                  0
    WBS NL-N-TS2-002-04-01-15      Linear Heat Sensing	                  0	             851240	            -851240	                  0	                  0	             851240	            -851240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             851240	            -851240	                  0
    WBS NL-N-TS2-002-04-01-16      Rotex 2/2 Direct Act	                  0	              67360	             -67360	                  0	                  0	              67360	             -67360	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              67360	             -67360	                  0
    WBS NL-N-TS2-002-04-02         ESP CONTROLS	                  0	           20276249	          -20276249	                  0	                  0	           20276249	          -20276249	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20276249	          -20276249	                  0
    WBS NL-N-TS2-002-04-02-01       Boiler Lift-5 & 6	                  0	           14573000	          -14573000	                  0	                  0	           14573000	          -14573000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14573000	          -14573000	                  0
    WBS NL-N-TS2-002-04-02-04      Boiler lift- 2,4 & 7	                  0	            2060705	           -2060705	                  0	                  0	            2060705	           -2060705	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2060705	           -2060705	                  0
    WBS NL-N-TS2-002-04-02-07      Supply,Erection&Comm	                  0	            1400000	           -1400000	                  0	                  0	            1400000	           -1400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1400000	           -1400000	                  0
    WBS NL-N-TS2-002-04-02-08      Retrofitting of Unit	                  0	            1112567	           -1112567	                  0	                  0	            1112567	           -1112567	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1112567	           -1112567	                  0
    WBS NL-N-TS2-002-04-02-09      Procurement and inst	                  0	            1129977	           -1129977	                  0	                  0	            1129977	           -1129977	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1129977	           -1129977	                  0
    WBS NL-N-TS2-002-04-03         ELECTRICAL MAINTENAN	          479249418	          322956717	          156292701	               32.6	          479249418	          319198138	          160051280	               33.4	                  0	            3758579	           -3758579	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          479249418	          322956717	          156292701	               32.6
    WBS NL-N-TS2-002-04-03-01      ESP Hoist for stage	          479249418	                  0	          479249418	              100.0	          479249418	                  0	          479249418	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          479249418	                  0	          479249418	              100.0
    WBS NL-N-TS2-002-04-03-09      Retrofitting of 6.6K	                  0	           11581426	          -11581426	                  0	                  0	           11581426	          -11581426	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11581426	          -11581426	                  0
    WBS NL-N-TS2-002-04-03-11      GENERATOR STATOR END	                  0	            6826717	           -6826717	                  0	                  0	            6826717	           -6826717	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6826717	           -6826717	                  0
    WBS NL-N-TS2-002-04-03-12      OIP 400 KV Bushing -	                  0	            4311175	           -4311175	                  0	                  0	            4311175	           -4311175	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4311175	           -4311175	                  0
    WBS NL-N-TS2-002-04-03-13      LVBushing for Stage-	                  0	            1947000	           -1947000	                  0	                  0	            1947000	           -1947000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1947000	           -1947000	                  0
