Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (24.09.2025 10:36:59)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   Manpower hiring for  WBS NL-F-MAC-001-06-04	         9280005.17	               0.00	         9280004.88	         9280004.88	               0.29	               0.00	               0.00	               0.00	               0.00	               0.00	         9280005.17	               0.00	         9280004.88	         9280004.88	               0.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9280005.17	               0.00	         9280004.88	         9280004.88	               0.29
**  Staff Salary/ Wages  WBS NL-F-MAC-001-07	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  Land and R&R         WBS NL-F-MAC-001-08	       356000000.00	               0.00	         5408240.31	         5408240.31	       350591759.69	       350000000.00	       350000000.00	               0.00	       350000000.00	               0.00	         6000000.00	      -350000000.00	         5408240.31	      -344591759.69	       350591759.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       356000000.00	               0.00	         5408240.31	         5408240.31	       350591759.69
*   Widening and strenth WBS NL-F-MAC-001-08-02	       350000000.00	               0.00	               0.00	               0.00	       350000000.00	       350000000.00	       350000000.00	               0.00	       350000000.00	               0.00	               0.00	      -350000000.00	               0.00	      -350000000.00	       350000000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       350000000.00	               0.00	               0.00	               0.00	       350000000.00
*   Socio Economic Surve WBS NL-F-MAC-001-08-03	         6000000.00	               0.00	         5408240.31	         5408240.31	          591759.69	               0.00	               0.00	               0.00	               0.00	               0.00	         6000000.00	               0.00	         5408240.31	         5408240.31	          591759.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6000000.00	               0.00	         5408240.31	         5408240.31	          591759.69
**  Community / Peripher WBS NL-F-MAC-001-09	        18660525.40	          708843.46	        17506482.16	        18215325.62	          445199.78	          454658.40	          454658.40	               0.00	          454658.40	               0.00	        18205867.00	          254185.06	        17506482.16	        17760667.22	          445199.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        45554813.40	          708843.46	        17506482.16	        18215325.62	        27339487.78
*   Procurement of Schoo WBS NL-F-MAC-001-09-01	          981237.40	          456237.40	           25000.00	          481237.40	          500000.00	          454658.40	          454658.40	               0.00	          454658.40	               0.00	          526579.00	            1579.00	           25000.00	           26579.00	          500000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        17525525.40	          456237.40	           25000.00	          481237.40	        17044288.00
*   Mobile Medical Dispe WBS NL-F-MAC-001-09-02	        17294288.00	               0.00	        17294287.16	        17294287.16	               0.84	               0.00	               0.00	               0.00	               0.00	               0.00	        17294288.00	               0.00	        17294287.16	        17294287.16	               0.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        17294288.00	               0.00	        17294287.16	        17294287.16	               0.84
*   Financial Assistance WBS NL-F-MAC-001-09-03	           85000.00	          235000.00	               0.00	          235000.00	         -150000.00	               0.00	               0.00	               0.00	               0.00	               0.00	           85000.00	          235000.00	               0.00	          235000.00	         -150000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          235000.00	          235000.00	               0.00	          235000.00	               0.00
*   Community Devlopment WBS NL-F-MAC-001-09-04	          300000.00	           17606.06	          187195.00	          204801.06	           95198.94	               0.00	               0.00	               0.00	               0.00	               0.00	          300000.00	           17606.06	          187195.00	          204801.06	           95198.94	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10500000.00	           17606.06	          187195.00	          204801.06	        10295198.94
