Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (26.11.2025 12:24:01)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
6*  TS I Switchyard Modi PRJ NL-C-TS1-001	       310612947.59	       293119056.89	        17488406.06	       310607462.95	            5484.64	       310612947.59	       283409806.11	        17488406.06	       300898212.17	         9714735.42	               0.00	         9709250.78	               0.00	         9709250.78	        -9709250.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       310612947.59	       293119056.89	        17488406.06	       310607462.95	            5484.64
6*  Wind Turbine Project PRJ NL-C-WND-001	        23203970.00	        18416660.00	         4604165.00	        23020825.00	          183145.00	        23203970.00	        18416660.00	         4604165.00	        23020825.00	          183145.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        23203970.00	        18416660.00	         4604165.00	        23020825.00	          183145.00
6*  50 MW Wind Project   PRJ NL-C-WND-002	      3439334918.15	      3131658312.02	       230393732.17	      3362052044.19	        77282873.96	      2928210854.69	      2928210854.69	               0.00	      2928210854.69	               0.00	       511124063.46	       203447457.33	       230393732.17	       433841189.50	        77282873.96	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      3439334918.15	      3131658312.02	       230393732.17	      3362052044.19	        77282873.96
6*  MACHHAKATA (REVISED) PRJ NL-F-MAC-001	      2264148400.00	        24302764.89	       483511070.73	       507813835.62	      1756334564.38	       368607886.40	       -21870277.48	       410994000.00	       389123722.52	       -20515836.12	      1895540513.60	        46173042.37	        58451573.46	       104624615.83	      1790915897.77	               0.00	               0.00	         5575500.00	         5575500.00	        -5575500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8489997.27	         8489997.27	        -8489997.27	      2264148400.00	        24302764.89	       483511070.73	       507813835.62	      1756334564.38
6*  Raipura Phosphorite  PRJ NL-F-MRP-001	       233500000.00	               0.00	        33356533.13	        33356533.13	       200143466.87	               0.00	               0.00	               0.00	               0.00	               0.00	       233500000.00	               0.00	        33356533.13	        33356533.13	       200143466.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       233500000.00	               0.00	        33356533.13	        33356533.13	       200143466.87
6*  Semhardih Phosphorit PRJ NL-F-MSP-001	       231600000.00	               0.00	        32759124.50	        32759124.50	       198840875.50	               0.00	               0.00	               0.00	               0.00	               0.00	       231600000.00	               0.00	        32759124.50	        32759124.50	       198840875.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       231600000.00	               0.00	        32759124.50	        32759124.50	       198840875.50
6*  North Dhadu (Western PRJ NL-F-NDM-001	      1282716098.47	        88554808.76	       245758227.09	       334313035.85	       948403062.62	        77248977.09	        77120163.89	           30000.00	        77150163.89	           98813.20	      1205467121.38	        11434644.87	       245728227.09	       257162871.96	       948304249.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1282716098.47	        88554808.76	       245758227.09	       334313035.85	       948403062.62
6*  Rajasthan Gurha Powe PRJ NL-F-RGP-001	         3726735.00	          531000.00	          472000.00	         1003000.00	         2723735.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3726735.00	          531000.00	          472000.00	         1003000.00	         2723735.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3726735.00	          531000.00	          472000.00	         1003000.00	         2723735.00
6*  NLC Talabira Thermal PRJ NL-F-TPP-001	        59621587.00	          902899.66	        58718687.07	        59621586.73	               0.27	               0.00	               0.00	               0.00	               0.00	               0.00	        59621587.00	          902899.66	        58718687.07	        59621586.73	               0.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        59621587.00	          902899.66	        58718687.07	        59621586.73	               0.27
6*  Barsingsar Mines Cap PRJ NL-M-BMN-001	         2700000.00	               0.00	               0.00	               0.00	         2700000.00	         2700000.00	               0.00	               0.00	               0.00	         2700000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2700000.00	               0.00	               0.00	               0.00	         2700000.00
6*  Mine 1A Capital Mate PRJ NL-M-M1A-001	       212961902.14	       124843061.33	        17249410.51	       142092471.84	        70869430.30	       212961902.14	       115301350.17	        17249410.51	       132550760.68	        80411141.46	               0.00	         9541711.16	               0.00	         9541711.16	        -9541711.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       214561902.14	       124843061.33	        17249410.51	       142092471.84	        72469430.30
6*  Mech. Services Capit PRJ NL-M-MES-001	       262789970.00	       203617984.96	         8484193.70	       212102178.66	        50687791.34	       262789970.00	       203617984.96	         8484193.70	       212102178.66	        50687791.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       262789970.00	       203617984.96	         8484193.70	       212102178.66	        50687791.34
6*  Mine 1 Capital Mater PRJ NL-M-MN1-001	       544311577.58	       421099462.04	        14525503.84	       435624965.88	       108686611.70	       544311577.58	       421099462.04	         6319686.84	       427419148.88	       116892428.70	               0.00	               0.00	         8205817.00	         8205817.00	        -8205817.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       545911586.58	       421099462.04	        14525503.84	       435624965.88	       110286620.70
6*  Mine 2 Capital Mater PRJ NL-M-MN2-001	       831745340.61	       468932288.50	        24438279.05	       493370567.55	       338374773.06	       831745340.61	       415750570.87	         8026645.05	       423777215.92	       407968124.69	               0.00	        53181717.63	        16411634.00	        69593351.63	       -69593351.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       831745340.61	       468932288.50	        24438279.05	       493370567.55	       338374773.06
6*  NNTP Capital Materia PRJ NL-M-NNT-001	      1246930688.53	       268822130.86	       228956659.43	       497778790.29	       749151898.24	       140901906.53	       140901906.53	          816300.00	       141718206.53	         -816300.00	      1106028782.00	       127920224.33	       218338569.41	       346258793.74	       759769988.26	               0.00	               0.00	         9801790.02	         9801790.02	        -9801790.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	      1246930688.53	       268822130.86	       228956659.43	       497778790.29	       749151898.24
