Plan/Actual/Variance	Current data (20.02.2025 17:15:24)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2024	2024	2024	2024	2025	2025	2025	2025	2026	2026	2026	2026	2027 and Following	2027 and Following	2027 and Following	2027 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
*   WBS NL-N-TS2-002-04-01-13      Procurement of Magne	                  0	            9192000	           -9192000	                  0	                  0	                  0	                  0	                  0	                  0	            9192000	           -9192000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9192000	           -9192000	                  0
*   WBS NL-N-TS2-002-04-01-15      Linear Heat Sensing	                  0	             850990	            -850990	                  0	                  0	                  0	                  0	                  0	                  0	             850990	            -850990	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             850990	            -850990	                  0
*   WBS NL-N-TS2-002-04-01-16      Rotex 2/2 Direct Act	                  0	              67360	             -67360	                  0	                  0	                  0	                  0	                  0	                  0	              67360	             -67360	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              67360	             -67360	                  0
**  WBS NL-N-TS2-002-04-02         ESP CONTROLS	                  0	           20276249	          -20276249	                  0	                  0	           19146272	          -19146272	                  0	                  0	            1129977	           -1129977	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20276249	          -20276249	                  0
*   WBS NL-N-TS2-002-04-02-01       Boiler Lift-5 & 6	                  0	           14573000	          -14573000	                  0	                  0	           14573000	          -14573000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14573000	          -14573000	                  0
*   WBS NL-N-TS2-002-04-02-04      Boiler lift- 2,4 & 7	                  0	            2060705	           -2060705	                  0	                  0	            2060705	           -2060705	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2060705	           -2060705	                  0
*   WBS NL-N-TS2-002-04-02-07      Supply,Erection&Comm	                  0	            1400000	           -1400000	                  0	                  0	            1400000	           -1400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1400000	           -1400000	                  0
*   WBS NL-N-TS2-002-04-02-08      Retrofitting of Unit	                  0	            1112567	           -1112567	                  0	                  0	            1112567	           -1112567	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1112567	           -1112567	                  0
*   WBS NL-N-TS2-002-04-02-09      Procurement and inst	                  0	            1129977	           -1129977	                  0	                  0	                  0	                  0	                  0	                  0	            1129977	           -1129977	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1129977	           -1129977	                  0
**  WBS NL-N-TS2-002-04-03         ELECTRICAL MAINTENAN	          479249418	          257596359	          221653059	               46.3	                  0	          152783839	         -152783839	                  0	          479249418	          104812520	          374436898	               78.1	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          479249418	          257596359	          221653059	               46.3
*   WBS NL-N-TS2-002-04-03-01      ESP Hoist for stage	          479249418	                  0	          479249418	              100.0	                  0	                  0	                  0	                  0	          479249418	                  0	          479249418	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          479249418	                  0	          479249418	              100.0
*   WBS NL-N-TS2-002-04-03-09      Retrofitting of 6.6K	                  0	           11578597	          -11578597	                  0	                  0	                  0	                  0	                  0	                  0	           11578597	          -11578597	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11578597	          -11578597	                  0
*   WBS NL-N-TS2-002-04-03-11      GENERATOR STATOR END	                  0	            6826717	           -6826717	                  0	                  0	            6826717	           -6826717	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6826717	           -6826717	                  0
*   WBS NL-N-TS2-002-04-03-12      OIP 400 KV Bushing -	                  0	            4311175	           -4311175	                  0	                  0	                  0	                  0	                  0	                  0	            4311175	           -4311175	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4311175	           -4311175	                  0
*   WBS NL-N-TS2-002-04-03-13      LVBushing for Stage-	                  0	            1947000	           -1947000	                  0	                  0	                  0	                  0	                  0	                  0	            1947000	           -1947000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1947000	           -1947000	                  0
*   WBS NL-N-TS2-002-04-03-14      LV Bushing for Stage	                  0	             251234	            -251234	                  0	                  0	                  0	                  0	                  0	                  0	             251234	            -251234	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             251234	            -251234	                  0
*   WBS NL-N-TS2-002-04-03-15      LV Bushing for Stage	                  0	            2920500	           -2920500	                  0	                  0	                  0	                  0	                  0	                  0	            2920500	           -2920500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2920500	           -2920500	                  0
*   WBS NL-N-TS2-002-04-03-16      LV Bushing for Stage	                  0	             502468	            -502468	                  0	                  0	                  0	                  0	                  0	                  0	             502468	            -502468	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             502468	            -502468	                  0
*   WBS NL-N-TS2-002-04-03-17      Oil Pump for stage-1	                  0	             389400	            -389400	                  0	                  0	                  0	                  0	                  0	                  0	             389400	            -389400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             389400	            -389400	                  0
*   WBS NL-N-TS2-002-04-03-18      Oil Pump for stage-2	                  0	             389400	            -389400	                  0	                  0	                  0	                  0	                  0	                  0	             389400	            -389400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             389400	            -389400	                  0
*   WBS NL-N-TS2-002-04-03-19      160 KVA LDB Transfor	                  0	            1402290	           -1402290	                  0	                  0	            1402290	           -1402290	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1402290	           -1402290	                  0
*   WBS NL-N-TS2-002-04-03-21      Retrofitting of Tadi	                  0	            2400000	           -2400000	                  0	                  0	            2400000	           -2400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2400000	           -2400000	                  0
