Plan/Actual/Variance	Current data (01.12.2025 16:15:22)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
6*  PRJ NL-S-CSR-072               Conducting Medical C	                  0	            7109356	           -7109356	                  0	                  0	            7109356	           -7109356	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7109356	           -7109356	                  0
6*  PRJ NL-S-CSR-073               Sneha Opportunity Sc	                  0	            7000000	           -7000000	                  0	                  0	            7000000	           -7000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7000000	           -7000000	                  0
6*  PRJ NL-S-CSR-074               FATO Athma Deepam So	                  0	             600000	            -600000	                  0	                  0	             600000	            -600000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             600000	            -600000	                  0
6*  PRJ NL-S-CSR-076               2 Class room Kollidu	                  0	            1736450	           -1736450	                  0	                  0	            1736450	           -1736450	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1736450	           -1736450	                  0
6*  PRJ NL-S-CSR-077               4 Class Room Kurinji	                  0	            1330560	           -1330560	                  0	                  0	            1330560	           -1330560	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1330560	           -1330560	                  0
6*  PRJ NL-S-CSR-078               Urgent Activities wi	                  0	            5433344	           -5433344	                  0	                  0	            5433344	           -5433344	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5433344	           -5433344	                  0
6*  PRJ NL-S-CSR-079               Blood Donation Camps	                  0	             940716	            -940716	                  0	                  0	             940716	            -940716	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             940716	            -940716	                  0
6*  PRJ NL-S-CSR-080               Medical Camps Barsin	                  0	             489063	            -489063	                  0	                  0	             489063	            -489063	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             489063	            -489063	                  0
6*  PRJ NL-S-CSR-081               OP Treament to Near	                  0	           21198558	          -21198558	                  0	                  0	           21198558	          -21198558	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21198558	          -21198558	                  0
6*  PRJ NL-S-CSR-084               Infrastructure at PH	                  0	             445250	            -445250	                  0	                  0	             445250	            -445250	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             445250	            -445250	                  0
6*  PRJ NL-S-CSR-085               Nutrisional support-	                  0	            4872361	           -4872361	                  0	                  0	            4872361	           -4872361	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4872361	           -4872361	                  0
6*  PRJ NL-S-CSR-087               Medical Equipment fo	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0
6*  PRJ NL-S-CSR-088               OASIS & Annai Theras	                  0	            2539780	           -2539780	                  0	                  0	            2539780	           -2539780	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2539780	           -2539780	                  0
6*  PRJ NL-S-CSR-089               Financial Asstance t	                  0	            4000000	           -4000000	                  0	                  0	            4000000	           -4000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4000000	           -4000000	                  0
6*  PRJ NL-S-CSR-090               FA2 Bharat Seva.Sang	                  0	           13833000	          -13833000	                  0	                  0	           13833000	          -13833000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13833000	          -13833000	                  0
6*  PRJ NL-S-CSR-092               FA2 DSK Kottayam Ker	                  0	            3500000	           -3500000	                  0	                  0	            3500000	           -3500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3500000	           -3500000	                  0
6*  PRJ NL-S-CSR-093               Consumable&Charges f	                  0	              50150	             -50150	                  0	                  0	              50150	             -50150	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              50150	             -50150	                  0
6*  PRJ NL-S-CSR-094               FA to Sri Dhanvantha	                  0	            1000000	           -1000000	                  0	                  0	            1000000	           -1000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1000000	           -1000000	                  0
6*  PRJ NL-S-CSR-095               Improvement works Ba	                  0	            3476253	           -3476253	                  0	                  0	            3476253	           -3476253	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3476253	           -3476253	                  0
6*  PRJ NL-S-CSR-107               Hygiene & Healthcare	                  0	            6195901	           -6195901	                  0	                  0	            6195901	           -6195901	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6195901	           -6195901	                  0
6*  PRJ NL-S-CSR-112               Awareness motivation	                  0	            3466179	           -3466179	                  0	                  0	            3466179	           -3466179	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3466179	           -3466179	                  0
6*  PRJ NL-S-CSR-113               1 std girl students	                  0	             199882	            -199882	                  0	                  0	             199882	            -199882	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             199882	            -199882	                  0
6*  PRJ NL-S-CSR-114               Scholarship to girl	                  0	             829290	            -829290	                  0	                  0	             829290	            -829290	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             829290	            -829290	                  0
6*  PRJ NL-S-CSR-115               Tution Fees SC,ST,OB	                  0	           35448250	          -35448250	                  0	                  0	           35448250	          -35448250	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           35448250	          -35448250	                  0
6*  PRJ NL-S-CSR-116               Activities for promo	                  0	             986901	            -986901	                  0	                  0	             986901	            -986901	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             986901	            -986901	                  0
6*  PRJ NL-S-CSR-117               Educational assistan	                  0	            7321468	           -7321468	                  0	                  0	            7321468	           -7321468	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7321468	           -7321468	                  0
6*  PRJ NL-S-CSR-119               Toilet blocks,smart	                  0	             945680	            -945680	                  0	                  0	             945680	            -945680	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             945680	            -945680	                  0
6*  PRJ NL-S-CSR-120               Classrooms,toilets-	                  0	             655673	            -655673	                  0	                  0	             655673	            -655673	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             655673	            -655673	                  0
6*  PRJ NL-S-CSR-122               FA JES for neyveli o	                  0	           50000000	          -50000000	                  0	                  0	           50000000	          -50000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           50000000	          -50000000	                  0
6*  PRJ NL-S-CSR-126               Smartclass GS Kumbak	                  0	            2099308	           -2099308	                  0	                  0	            2099308	           -2099308	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2099308	           -2099308	                  0
6*  PRJ NL-S-CSR-128               Infrastructures to L	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0
6*  PRJ NL-S-CSR-130               FA Kasturba New Delh	                  0	            3000000	           -3000000	                  0	                  0	            3000000	           -3000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3000000	           -3000000	                  0
6*  PRJ NL-S-CSR-133               Skill development pr	                  0	             427714	            -427714	                  0	                  0	             427714	            -427714	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             427714	            -427714	                  0
6*  PRJ NL-S-CSR-134               FA to VIKS Hyderabad	                  0	             300000	            -300000	                  0	                  0	             300000	            -300000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             300000	            -300000	                  0
6*  PRJ NL-S-CSR-135               Camel festival 2023	                  0	             200000	            -200000	                  0	                  0	             200000	            -200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             200000	            -200000	                  0
6*  PRJ NL-S-CSR-137               Tokyo Olympics Jodhk	                  0	            4339133	           -4339133	                  0	                  0	            4339133	           -4339133	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4339133	           -4339133	                  0
6*  PRJ NL-S-CSR-139               Sports meet Bikaner	                  0	             948861	            -948861	                  0	                  0	             948861	            -948861	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             948861	            -948861	                  0
6*  PRJ NL-S-CSR-141               13 wells Bhanpura vi	                  0	            1904775	           -1904775	                  0	                  0	            1904775	           -1904775	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1904775	           -1904775	                  0
6*  PRJ NL-S-CSR-143               Road repair work The	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0
6*  PRJ NL-S-CSR-146               Barsingsar-Udairamsa	                  0	           18317185	          -18317185	                  0	                  0	           18317185	          -18317185	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           18317185	          -18317185	                  0
6*  PRJ NL-S-CSR-147               Boxculvert,Rcc vents	                  0	             392295	            -392295	                  0	                  0	             392295	            -392295	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             392295	            -392295	                  0
6*  PRJ NL-S-CSR-151               Administrative Overh	                  0	           20135000	          -20135000	                  0	                  0	           20135000	          -20135000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           20135000	          -20135000	                  0
6*  PRJ NL-S-CSR-152               TraumaCare First Flo	                  0	            9646349	           -9646349	                  0	                  0	            9646349	           -9646349	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9646349	           -9646349	                  0
6*  PRJ NL-S-CSR-153               Upgradation of PHCs	                  0	            1201246	           -1201246	                  0	                  0	            1201246	           -1201246	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1201246	           -1201246	                  0
6*  PRJ NL-S-CSR-154               Imp. works Gov PHC C	                  0	            2706033	           -2706033	                  0	                  0	            2706033	           -2706033	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2706033	           -2706033	                  0
6*  PRJ NL-S-CSR-155               D.G.Set O2 plant  Vi	                  0	            1576462	           -1576462	                  0	                  0	            1576462	           -1576462	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1576462	           -1576462	                  0
6*  PRJ NL-S-CSR-157               Consumbales charges	                  0	              29500	             -29500	                  0	                  0	              29500	             -29500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	              29500	             -29500	                  0
6*  PRJ NL-S-CSR-158               Tin shed water tank	                  0	            2223128	           -2223128	                  0	                  0	            2223128	           -2223128	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2223128	           -2223128	                  0
6*  PRJ NL-S-CSR-159               OHT & Borewell U.Adh	                  0	            2684562	           -2684562	                  0	                  0	            2684562	           -2684562	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2684562	           -2684562	                  0
6*  PRJ NL-S-CSR-160                OHT Mummudicholagan	                  0	            1255730	           -1255730	                  0	                  0	            1255730	           -1255730	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1255730	           -1255730	                  0
6*  PRJ NL-S-CSR-161                OHT Borewell Vegako	                  0	            1053102	           -1053102	                  0	                  0	            1053102	           -1053102	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1053102	           -1053102	                  0
6*  PRJ NL-S-CSR-162               OHT borewell Seplant	                  0	            2120626	           -2120626	                  0	                  0	            2120626	           -2120626	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2120626	           -2120626	                  0
6*  PRJ NL-S-CSR-165               OHT Annavalli  Vazhi	                  0	            2697008	           -2697008	                  0	                  0	            2697008	           -2697008	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2697008	           -2697008	                  0
6*  PRJ NL-S-CSR-166               OHT ValliMaduram,Ma.	                  0	            8466986	           -8466986	                  0	                  0	            8466986	           -8466986	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8466986	           -8466986	                  0
6*  PRJ NL-S-CSR-167               Drinking water borew	                  0	             712378	            -712378	                  0	                  0	             712378	            -712378	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             712378	            -712378	                  0
6*  PRJ NL-S-CSR-169               Public Toilet Blocks	                  0	           -6081498	            6081498	                  0	                  0	           -6081498	            6081498	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           -6081498	            6081498	                  0
6*  PRJ NL-S-CSR-170               swachh iconic places	                  0	            5038362	           -5038362	                  0	                  0	            5038362	           -5038362	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5038362	           -5038362	                  0
6*  PRJ NL-S-CSR-172               Toilets @ Kattukudal	                  0	             848341	            -848341	                  0	                  0	             848341	            -848341	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             848341	            -848341	                  0
6*  PRJ NL-S-CSR-173                6 toilet blocks aro	                  0	            3545624	           -3545624	                  0	                  0	            3545624	           -3545624	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3545624	           -3545624	                  0
6*  PRJ NL-S-CSR-175               2 classroom PUMS Paz	                  0	            4059371	           -4059371	                  0	                  0	            4059371	           -4059371	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4059371	           -4059371	                  0
6*  PRJ NL-S-CSR-176               4 classroom Gov BHSS	                  0	            3172200	           -3172200	                  0	                  0	            3172200	           -3172200	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3172200	           -3172200	                  0
6*  PRJ NL-S-CSR-178               Toilets tin shed hal	                  0	             408849	            -408849	                  0	                  0	             408849	            -408849	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             408849	            -408849	                  0
6*  PRJ NL-S-CSR-179               clasroom Vanathiraya	                  0	            1557481	           -1557481	                  0	                  0	            1557481	           -1557481	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1557481	           -1557481	                  0
6*  PRJ NL-S-CSR-180               Library GHS Melakupp	                  0	            5764169	           -5764169	                  0	                  0	            5764169	           -5764169	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5764169	           -5764169	                  0
6*  PRJ NL-S-CSR-181               Reimb. purch Lab equ	                  0	           10129934	          -10129934	                  0	                  0	           10129934	          -10129934	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10129934	          -10129934	                  0
6*  PRJ NL-S-CSR-182               Toilet Clasroom GHS	                  0	            1181482	           -1181482	                  0	                  0	            1181482	           -1181482	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1181482	           -1181482	                  0
6*  PRJ NL-S-CSR-184               Fin support SSVMPS B	                  0	            8700000	           -8700000	                  0	                  0	            8700000	           -8700000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8700000	           -8700000	                  0
6*  PRJ NL-S-CSR-185               Infrastructure Libra	                  0	             538209	            -538209	                  0	                  0	             538209	            -538209	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             538209	            -538209	                  0
6*  PRJ NL-S-CSR-186               Infrastructure Middl	                  0	             377930	            -377930	                  0	                  0	             377930	            -377930	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             377930	            -377930	                  0
6*  PRJ NL-S-CSR-188               2 clsroom PUMS Adaya	                  0	            2939786	           -2939786	                  0	                  0	            2939786	           -2939786	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2939786	           -2939786	                  0
6*  PRJ NL-S-CSR-189               infra Gov school, Sw	                  0	             925928	            -925928	                  0	                  0	             925928	            -925928	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             925928	            -925928	                  0
6*  PRJ NL-S-CSR-190               Infra. GHSS Lalamdes	                  0	             277241	            -277241	                  0	                  0	             277241	            -277241	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             277241	            -277241	                  0
6*  PRJ NL-S-CSR-191               Infra.Gov MahatmaGan	                  0	             295613	            -295613	                  0	                  0	             295613	            -295613	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             295613	            -295613	                  0
6*  PRJ NL-S-CSR-192               FA Atma Deepam Socie	                  0	             900000	            -900000	                  0	                  0	             900000	            -900000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             900000	            -900000	                  0
