Plan/Actual/Variance	Current data (01.12.2025 16:15:22)
	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2026	2026	2026	2026	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values
Object	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %	Plan	Actual	Variance	Var %
Displayed in	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1	1 INR	1 INR	1 INR	1
6*  PRJ NL-F-NDM-001               North Dhadu (Western	         2000000000	           88554809	         1911445191	               95.6	                  0	           77120164	          -77120164	                  0	         2000000000	           11434645	         1988565355	               99.4	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2000000000	           88554809	         1911445191	               95.6
6*  PRJ NL-F-RGP-001               Rajasthan Gurha Powe	                  0	             531000	            -531000	                  0	                  0	                  0	                  0	                  0	                  0	             531000	            -531000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             531000	            -531000	                  0
6*  PRJ NL-F-TPP-001               NLC Talabira Thermal	                  0	             902900	            -902900	                  0	                  0	                  0	                  0	                  0	                  0	             902900	            -902900	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             902900	            -902900	                  0
6*  PRJ NL-M-BMN-001               Barsingsar Mines Cap	            2800000	                  0	            2800000	              100.0	            2700000	                  0	            2700000	              100.0	             100000	                  0	             100000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2700000	                  0	            2700000	              100.0
6*  PRJ NL-M-M1A-001               Mine 1A Capital Mate	          194025092	          124843061	           69182031	               35.7	          194025092	          115301350	           78723742	               40.6	                  0	            9541711	           -9541711	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          194025092	          124843061	           69182031	               35.7
6*  PRJ NL-M-MES-001               Mech. Services Capit	                  0	          203617985	         -203617985	                  0	                  0	          203617985	         -203617985	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          203617985	         -203617985	                  0
6*  PRJ NL-M-MN1-001               Mine 1 Capital Mater	          224881217	          421099462	         -196218245	              -87.3	          224881217	          421099462	         -196218245	              -87.3	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          224881217	          421099462	         -196218245	              -87.3
6*  PRJ NL-M-MN2-001               Mine 2 Capital Mater	          110366531	          468932289	         -358565758	             -324.9	          110366531	          415750571	         -305384040	             -276.7	                  0	           53181718	          -53181718	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           88043881	          468932289	         -380888408	             -432.6
6*  PRJ NL-M-NNT-001               NNTP Capital Materia	                  0	          271629947	         -271629947	                  0	                  0	          140901907	         -140901907	                  0	                  0	          130728040	         -130728040	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          271629947	         -271629947	                  0
6*  PRJ NL-M-PRO-001               PRO Material Project	            5400000	                  0	            5400000	              100.0	            5400000	                  0	            5400000	              100.0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5400000	                  0	            5400000	              100.0
