Budget/Actual/Commitment/Assigned	Current data (12.05.2026 12:25:20)
	Overall values	Overall values	Overall values	Overall values	Overall values	2021	2021	2021	2021	2021	2022	2022	2022	2022	2022	2023	2023	2023	2023	2023	2024	2024	2024	2024	2024	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028	2028	2028	2028	2028	2029	2029	2029	2029	2029	2030	2030	2030	2030	2030	2031	2031	2031	2031	2031	Total of years	Total of years	Total of years	Total of years	Total of years
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  WBS NL-N-TS2-002-02-02         Rehabilitation works	        18780348.93	        18780348.93	               0.00	        18780348.93	               0.00	        18780348.93	        18780348.93	               0.00	        18780348.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        18780348.93	        18780348.93	               0.00	        18780348.93	               0.00
**  WBS NL-N-TS2-002-02-05         Water  Proofing work	         8848487.09	         6281602.89	         2566884.20	         8848487.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2481642.66	         2481642.66	               0.00	         2481642.66	               0.00	         3799960.23	         3824304.67	               0.00	         3824304.67	          -24344.44	               0.00	          -24344.44	               0.00	          -24344.44	           24344.44	               0.00	               0.00	               0.00	               0.00	               0.00	         2566884.20	               0.00	         2566884.20	         2566884.20	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8848487.09	         6281602.89	         2566884.20	         8848487.09	               0.00
**  WBS NL-N-TS2-002-02-06         Paver block pavement	         6082931.41	         6082931.41	               0.00	         6082931.41	               0.00	         6082931.41	         6082931.41	               0.00	         6082931.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6082931.41	         6082931.41	               0.00	         6082931.41	               0.00
**  WBS NL-N-TS2-002-02-07         Rehabilitation works	        21576331.28	        20680612.08	               0.00	        20680612.08	          895719.20	         1052324.00	         1052324.00	               0.00	         1052324.00	               0.00	        19852217.88	        19852217.88	               0.00	        19852217.88	               0.00	               0.00	         -223929.80	               0.00	         -223929.80	          223929.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          447859.60	               0.00	               0.00	               0.00	          447859.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        21352401.48	        20680612.08	               0.00	        20680612.08	          671789.40
**  WBS NL-N-TS2-002-02-09         Roof& cladding to JT	         3186642.45	         3186642.45	               0.00	         3186642.45	               0.00	         3186642.45	         3186642.45	               0.00	         3186642.45	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3186642.45	         3186642.45	               0.00	         3186642.45	               0.00
**  WBS NL-N-TS2-002-02-10         Painting of  Boiler	         2948513.30	         1283419.04	               0.00	         1283419.04	         1665094.26	         1838450.46	         1838450.46	               0.00	         1838450.46	               0.00	               0.00	         -555031.42	               0.00	         -555031.42	          555031.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          555031.42	               0.00	               0.00	               0.00	          555031.42	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2393481.88	         1283419.04	               0.00	         1283419.04	         1110062.84
**  WBS NL-N-TS2-002-02-11         Repair& painting of	         3896420.89	         3896420.89	               0.00	         3896420.89	               0.00	         3896420.89	         3896420.89	               0.00	         3896420.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3896420.89	         3896420.89	               0.00	         3896420.89	               0.00
**  WBS NL-N-TS2-002-02-12         Coat over existing b	         1813726.51	         1813726.51	               0.00	         1813726.51	               0.00	         1813726.51	         1813726.51	               0.00	         1813726.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1813726.51	         1813726.51	               0.00	         1813726.51	               0.00
**  WBS NL-N-TS2-002-02-13         Providing golvelume	         1517070.85	         1517070.85	               0.00	         1517070.85	               0.00	         1517070.85	         1517070.85	               0.00	         1517070.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1517070.85	         1517070.85	               0.00	         1517070.85	               0.00
**  WBS NL-N-TS2-002-02-17         Restoration  sheets	        13254005.71	        12373433.20	          653761.17	        13027194.37	          226811.34	        12449036.98	        12449036.98	               0.00	        12449036.98	               0.00	               0.00	          -75603.78	               0.00	          -75603.78	           75603.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          729364.95	               0.00	          653761.17	          653761.17	           75603.78	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13178401.93	        12373433.20	          653761.17	        13027194.37	          151207.56
