Budget/Actual/Commitment/Assigned	Current data (12.05.2026 12:25:20)
	Overall values	Overall values	Overall values	Overall values	Overall values	2021	2021	2021	2021	2021	2022	2022	2022	2022	2022	2023	2023	2023	2023	2023	2024	2024	2024	2024	2024	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028	2028	2028	2028	2028	2029	2029	2029	2029	2029	2030	2030	2030	2030	2030	2031	2031	2031	2031	2031	Total of years	Total of years	Total of years	Total of years	Total of years
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   WBS NL-N-TS2-002-05-01-14      ABG plate link chain	         3051478.28	         3051478.28	               0.00	         3051478.28	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3051478.28	         3051478.28	               0.00	         3051478.28	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3051478.28	         3051478.28	               0.00	         3051478.28	               0.00
*   WBS NL-N-TS2-002-05-01-15      Repl & Recti of Supp	         5990827.89	         4705657.99	         1202925.90	         5908583.89	           82244.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3239720.49	         3239720.49	               0.00	         3239720.49	               0.00	         1189975.52	         1189975.52	               0.00	         1189975.52	               0.00	          275961.98	          275961.98	               0.00	          275961.98	               0.00	         1202925.90	               0.00	         1202925.90	         1202925.90	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5908583.89	         4705657.99	         1202925.90	         5908583.89	               0.00
*   WBS NL-N-TS2-002-05-01-16      Belt Conveyor Idler	          428599.22	          428599.22	               0.00	          428599.22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          428599.22	          428599.22	               0.00	          428599.22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          428599.22	          428599.22	               0.00	          428599.22	               0.00
*   WBS NL-N-TS2-002-05-01-17      Replacement of damag	          123408.32	          123408.32	               0.00	          123408.32	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          123408.32	          123408.32	               0.00	          123408.32	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          123408.32	          123408.32	               0.00	          123408.32	               0.00
*   WBS NL-N-TS2-002-05-01-18      ABG Drive Shaft Chai	         1230871.05	         1230871.05	               0.00	         1230871.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          123087.12	          123087.12	               0.00	          123087.12	               0.00	         1107783.93	         1107783.93	               0.00	         1107783.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1230871.05	         1230871.05	               0.00	         1230871.05	               0.00
*   WBS NL-N-TS2-002-05-01-19      Complete set of Spac	         1064049.66	         1064049.66	               0.00	         1064049.66	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1064049.66	         1064049.66	               0.00	         1064049.66	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1064049.66	         1064049.66	               0.00	         1064049.66	               0.00
*   WBS NL-N-TS2-002-05-01-20      ST contract 5 nos AB	         8700029.16	         7345573.16	         1035265.00	         8380838.16	          319191.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1894993.86	         1894993.86	               0.00	         1894993.86	               0.00	         4488734.16	         4488734.16	               0.00	         4488734.16	               0.00	          961845.14	          961845.14	               0.00	          961845.14	               0.00	         1354456.00	               0.00	         1035265.00	         1035265.00	          319191.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8700029.16	         7345573.16	         1035265.00	         8380838.16	          319191.00
*   WBS NL-N-TS2-002-05-01-21      RUD Chain coupling c	         2660000.02	         2660000.02	               0.00	         2660000.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2660000.02	         2660000.02	               0.00	         2660000.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2660000.02	         2660000.02	               0.00	         2660000.02	               0.00
*   WBS NL-N-TS2-002-05-01-22      ST work for fabricat	         6932981.00	         6491180.00	          260000.00	         6751180.00	          181801.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6095880.00	         6095880.00	               0.00	         6095880.00	               0.00	          395300.00	          395300.00	               0.00	          395300.00	               0.00	          441801.00	               0.00	          260000.00	          260000.00	          181801.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6932981.00	         6491180.00	          260000.00	         6751180.00	          181801.00
*   WBS NL-N-TS2-002-05-01-23      Louvre Type Grate ba	        10508223.41	        10508223.41	               0.00	        10508223.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10508223.41	        10508223.41	               0.00	        10508223.41	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        10508223.41	        10508223.41	               0.00	        10508223.41	               0.00
*   WBS NL-N-TS2-002-05-01-24      Changing /Rectifi of	        17043919.40	        13535431.20	         3299168.20	        16834599.40	          209320.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5013766.16	         5013766.16	               0.00	         5013766.16	               0.00	         8521665.04	         8521665.04	               0.00	         8521665.04	               0.00	         3299168.20	               0.00	         3299168.20	         3299168.20	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        16834599.40	        13535431.20	         3299168.20	        16834599.40	               0.00
*   WBS NL-N-TS2-002-05-01-25      Side/Intermediate Gr	         6621457.85	         6621457.85	               0.00	         6621457.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6621457.85	         6621457.85	               0.00	         6621457.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6621457.85	         6621457.85	               0.00	         6621457.85	               0.00
*   WBS NL-N-TS2-002-05-01-26      ABG Plate Link Chain	         3934566.89	         3934566.89	               0.00	         3934566.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3934566.89	         3934566.89	               0.00	         3934566.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3934566.89	         3934566.89	               0.00	         3934566.89	               0.00
*   WBS NL-N-TS2-002-05-01-27      ABG- COMPLETE SET OF	         2552516.73	         2552516.73	               0.00	         2552516.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          238058.57	          238058.57	               0.00	          238058.57	               0.00	         2314458.16	         2314458.16	               0.00	         2314458.16	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2552516.73	         2552516.73	               0.00	         2552516.73	               0.00
*   WBS NL-N-TS2-002-05-01-28      ABG-ROLLER-305MM	         1114269.57	         1114269.57	               0.00	         1114269.57	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1114269.57	         1114269.57	               0.00	         1114269.57	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1114269.57	         1114269.57	               0.00	         1114269.57	               0.00
*   WBS NL-N-TS2-002-05-01-29      ABG-ROLLER-355MM	         2659419.91	         2659419.91	               0.00	         2659419.91	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2023195.05	         2023195.05	               0.00	         2023195.05	               0.00	          636224.86	          636224.86	               0.00	          636224.86	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2659419.91	         2659419.91	               0.00	         2659419.91	               0.00
*   WBS NL-N-TS2-002-05-01-30      IMPORTED ROUND LINK	        40740000.09	        40740000.09	               0.00	        40740000.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        40740000.09	        40740000.09	               0.00	        40740000.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        40740000.09	        40740000.09	               0.00	        40740000.09	               0.00
*   WBS NL-N-TS2-002-05-01-31      SEVEN NO OF ABG OVER	         7761793.21	         5303184.32	         2381684.89	         7684869.21	           76924.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5303184.32	         5303184.32	               0.00	         5303184.32	               0.00	         2381684.89	               0.00	         2381684.89	         2381684.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7684869.21	         5303184.32	         2381684.89	         7684869.21	               0.00
*   WBS NL-N-TS2-002-05-01-32      ABG TENSION GUIDE DR	         1958171.74	         1958171.74	               0.00	         1958171.74	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1958171.74	         1958171.74	               0.00	         1958171.74	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1958171.74	         1958171.74	               0.00	         1958171.74	               0.00
*   WBS NL-N-TS2-002-05-01-33      GEAR BOX MOTOR	         3538818.00	               0.00	         3538818.00	         3538818.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3538818.00	               0.00	         3538818.00	         3538818.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3538818.00	               0.00	         3538818.00	         3538818.00	               0.00
*   WBS NL-N-TS2-002-05-01-34      i/p pinion shaft for	         1581790.00	               0.00	         1581790.00	         1581790.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1581790.00	               0.00	         1581790.00	         1581790.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1581790.00	               0.00	         1581790.00	         1581790.00	               0.00
*   WBS NL-N-TS2-002-05-01-35      Lvr type grate bar39	        29207360.00	               0.00	        29207360.00	        29207360.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        29207360.00	               0.00	        29207360.00	        29207360.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        29207360.00	               0.00	        29207360.00	        29207360.00	               0.00
*   WBS NL-N-TS2-002-05-01-36      Proc of SC Round lin	        38515540.00	               0.00	        38515540.00	        38515540.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        38515540.00	               0.00	        38515540.00	        38515540.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        38515540.00	               0.00	        38515540.00	        38515540.00	               0.00
*   WBS NL-N-TS2-002-05-01-37      Louvre Type Grate Ba	         7068000.00	               0.00	         7068000.00	         7068000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7068000.00	               0.00	         7068000.00	         7068000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7068000.00	               0.00	         7068000.00	         7068000.00	               0.00
*   WBS NL-N-TS2-002-05-01-38      Spacer Bar set,Tube	         2225040.00	               0.00	         2225040.00	         2225040.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2225040.00	               0.00	         2225040.00	         2225040.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2225040.00	               0.00	         2225040.00	         2225040.00	               0.00
*   WBS NL-N-TS2-002-05-01-39       ABG Side grate bar	         8819000.00	               0.00	         8819000.00	         8819000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8819000.00	               0.00	         8819000.00	         8819000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8819000.00	               0.00	         8819000.00	         8819000.00	               0.00
*   WBS NL-N-TS2-002-05-01-40      ABG ROLLER 305 MM-35	         6161250.00	               0.00	         6161250.00	         6161250.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6161250.00	               0.00	         6161250.00	         6161250.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6161250.00	               0.00	         6161250.00	         6161250.00	               0.00
*   WBS NL-N-TS2-002-05-01-41      FABRICATION OF NEW S	        24163999.79	               0.00	        24163999.79	        24163999.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        24163999.79	               0.00	        24163999.79	        24163999.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        24163999.79	               0.00	        24163999.79	        24163999.79	               0.00
**  WBS NL-N-TS2-002-05-02         MILL MAINTENANCE	       277188809.75	        92051087.93	       185017459.08	       277068547.01	          120262.74	        12369467.99	        12369467.99	               0.00	        12369467.99	               0.00	        20298067.96	        20298067.96	               0.00	        20298067.96	               0.00	        11038311.15	        11038311.15	               0.00	        11038311.15	               0.00	        35235681.46	        35235681.46	               0.00	        35235681.46	               0.00	        12197758.49	        12167692.81	               0.00	        12167692.81	           30065.68	       186049522.66	          941866.56	       185017459.08	       185959325.64	           90197.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       277188809.71	        92051087.93	       185017459.08	       277068547.01	          120262.70
*   WBS NL-N-TS2-002-05-02-01      MILLS AND PF DUCTS	        21074260.09	        20507859.74	          566400.35	        21074260.09	               0.00	        12369467.99	        12369467.99	               0.00	        12369467.99	               0.00	         8138391.75	         8138391.75	               0.00	         8138391.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          566400.35	               0.00	          566400.35	          566400.35	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        21074260.09	        20507859.74	          566400.35	        21074260.09	               0.00
*   WBS NL-N-TS2-002-05-02-02      Helical Spring &Visc	         8138236.21	         8138236.21	               0.00	         8138236.21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8138236.21	         8138236.21	               0.00	         8138236.21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8138236.21	         8138236.21	               0.00	         8138236.21	               0.00
*   WBS NL-N-TS2-002-05-02-03      Mill double bearing	          890100.00	          890100.00	               0.00	          890100.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          890100.00	          890100.00	               0.00	          890100.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          890100.00	          890100.00	               0.00	          890100.00	               0.00
*   WBS NL-N-TS2-002-05-02-04      PF Duct lifting & Al	         2320200.03	         1486800.00	          833400.03	         2320200.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1486800.00	         1486800.00	               0.00	         1486800.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          833400.03	               0.00	          833400.03	          833400.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2320200.03	         1486800.00	          833400.03	         2320200.03	               0.00
*   WBS NL-N-TS2-002-05-02-05      replace of spring un	         2534640.02	         2534640.00	               0.02	         2534640.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2534640.00	         2534640.00	               0.00	         2534640.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.02	               0.00	               0.02	               0.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2534640.02	         2534640.00	               0.02	         2534640.02	               0.00
