Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (28.04.2025 15:16:52)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   Bottom shaft & Shaft WBS NL-N-T1E-001-07-32	         7812790.00	         3379584.00	         4433206.00	         7812790.00	               0.00	         7812790.00	         3379584.00	         4433206.00	         7812790.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7812790.00	         3379584.00	         4433206.00	         7812790.00	               0.00
*    Safety Valves for T WBS NL-N-T1E-001-07-33	         4126321.38	               0.00	         4126321.38	         4126321.38	               0.00	         4126321.38	               0.00	               0.00	               0.00	         4126321.38	               0.00	               0.00	         4126321.38	         4126321.38	        -4126321.38	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4126321.38	               0.00	         4126321.38	         4126321.38	               0.00
*   two number of FCV    WBS NL-N-T1E-001-07-34	         7789182.17	         7789182.17	               0.00	         7789182.17	               0.00	         7789182.17	         7789182.17	               0.00	         7789182.17	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7789182.17	         7789182.17	               0.00	         7789182.17	               0.00
*   HP,LP-IP Turbine spa WBS NL-N-T1E-001-07-35	       147160494.27	        73697839.73	        73462654.54	       147160494.27	               0.00	       147160494.27	        50231169.98	        73462654.54	       123693824.52	        23466669.75	               0.00	        23466669.75	               0.00	        23466669.75	       -23466669.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       147160494.27	        73697839.73	        73462654.54	       147160494.27	               0.00
*   High Energy Drain Va WBS NL-N-T1E-001-07-36	          821914.12	               0.00	          821914.12	          821914.12	               0.00	          821914.12	               0.00	          821914.12	          821914.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          821914.12	               0.00	          821914.12	          821914.12	               0.00
*   OSU Spares for HP/LP WBS NL-N-T1E-001-07-37	         4868477.00	         4868477.00	               0.00	         4868477.00	               0.00	         4868477.00	         4868477.00	               0.00	         4868477.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4868477.00	         4868477.00	               0.00	         4868477.00	               0.00
*   HPH 6&7 Steam Extrac WBS NL-N-T1E-001-07-38	         1876083.50	               0.00	         1876083.50	         1876083.50	               0.00	         1876083.50	               0.00	         1876083.50	         1876083.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1876083.50	               0.00	         1876083.50	         1876083.50	               0.00
*   5 Kg ABC Type  Fire  WBS NL-N-T1E-001-07-40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Fire water Pump -2 N WBS NL-N-T1E-001-07-41	         7657020.00	         7657020.00	               0.00	         7657020.00	               0.00	         7657020.00	         7657020.00	               0.00	         7657020.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7657020.00	         7657020.00	               0.00	         7657020.00	               0.00
*   chiller units        WBS NL-N-T1E-001-07-42	        16261634.50	        12780872.14	         3480762.36	        16261634.50	               0.00	        16261634.50	               0.00	         3480762.36	         3480762.36	        12780872.14	               0.00	        12780872.14	               0.00	        12780872.14	       -12780872.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        16261634.50	        12780872.14	         3480762.36	        16261634.50	               0.00
*   Turbine critical spa WBS NL-N-T1E-001-07-43	         3449552.84	         3449552.84	               0.00	         3449552.84	               0.00	         3449552.84	         3449552.84	               0.00	         3449552.84	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3449552.84	         3449552.84	               0.00	         3449552.84	               0.00
*   Turbine Non Critical WBS NL-N-T1E-001-07-44	         3919118.69	         3919118.69	               0.00	         3919118.69	               0.00	         3919118.69	         3919118.69	               0.00	         3919118.69	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3919118.69	         3919118.69	               0.00	         3919118.69	               0.00
*   Installation of HP H WBS NL-N-T1E-001-07-45	         2502184.00	         1980984.00	          521200.00	         2502184.00	               0.00	         2502184.00	         1980984.00	          521200.00	         2502184.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2502184.00	         1980984.00	          521200.00	         2502184.00	               0.00
*   Mechanical Seal for  WBS NL-N-T1E-001-07-46	         1866859.36	               0.00	         1866859.36	         1866859.36	               0.00	         1866859.36	               0.00	               0.00	               0.00	         1866859.36	               0.00	               0.00	         1866859.36	         1866859.36	        -1866859.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1866859.36	               0.00	         1866859.36	         1866859.36	               0.00
*   Hydrazine Dozing Pum WBS NL-N-T1E-001-07-47	          923520.02	               0.00	          923520.02	          923520.02	               0.00	          923520.02	               0.00	               0.00	               0.00	          923520.02	               0.00	               0.00	          923520.02	          923520.02	         -923520.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          923520.02	               0.00	          923520.02	          923520.02	               0.00
*   JOP & TGOP           WBS NL-N-T1E-001-07-48	         1172378.02	               0.00	         1172378.02	         1172378.02	               0.00	         1172378.02	               0.00	               0.00	               0.00	         1172378.02	               0.00	               0.00	         1172378.02	         1172378.02	        -1172378.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1172378.02	               0.00	         1172378.02	         1172378.02	               0.00
*   CWP Spares           WBS NL-N-T1E-001-07-49	         5324197.00	               0.00	         5324197.00	         5324197.00	               0.00	         5324197.00	               0.00	               0.00	               0.00	         5324197.00	               0.00	               0.00	         5324197.00	         5324197.00	        -5324197.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5324197.00	               0.00	         5324197.00	         5324197.00	               0.00
*    Pneumatic Pilot & E WBS NL-N-T1E-001-07-50	        24015896.00	               0.00	        24015896.00	        24015896.00	               0.00	        24015896.00	               0.00	        24015896.00	        24015896.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        24015896.00	               0.00	        24015896.00	        24015896.00	               0.00
*   Deaerator Level cont WBS NL-N-T1E-001-07-51	         2078234.00	               0.00	         2078234.00	         2078234.00	               0.00	         2078234.00	               0.00	         2078234.00	         2078234.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2078234.00	               0.00	         2078234.00	         2078234.00	               0.00
*   TG HALL SERVICE      WBS NL-N-T1E-001-07-52	        17884500.00	               0.00	        17884500.00	        17884500.00	               0.00	        17884500.00	               0.00	        17884500.00	        17884500.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        17884500.00	               0.00	        17884500.00	        17884500.00	               0.00
*   FCV SPARES           WBS NL-N-T1E-001-07-53	         1212594.00	               0.00	         1212594.00	         1212594.00	               0.00	         1212594.00	               0.00	         1212594.00	         1212594.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1212594.00	               0.00	         1212594.00	         1212594.00	               0.00
*   CENTRIFUGAL PUMP     WBS NL-N-T1E-001-07-54	           47992.00	           47992.00	               0.00	           47992.00	               0.00	           47992.00	           47992.00	               0.00	           47992.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           47992.00	           47992.00	               0.00	           47992.00	               0.00
*   Submersible pumps    WBS NL-N-T1E-001-07-57	          481898.00	               0.00	          481898.00	          481898.00	               0.00	          481898.00	               0.00	               0.00	               0.00	          481898.00	               0.00	               0.00	          481898.00	          481898.00	         -481898.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          481898.00	               0.00	          481898.00	          481898.00	               0.00
*   Fire Extinguishers A WBS NL-N-T1E-001-07-58	          434200.00	               0.00	          434200.00	          434200.00	               0.00	          434200.00	               0.00	               0.00	               0.00	          434200.00	               0.00	               0.00	          434200.00	          434200.00	         -434200.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          434200.00	               0.00	          434200.00	          434200.00	               0.00
**  CHEMICAL             WBS NL-N-T1E-001-08	        65295540.01	        60522658.03	         4772881.98	        65295540.01	               0.00	        65295540.01	        60522658.03	         3575414.98	        64098073.01	         1197467.00	               0.00	               0.00	         1197467.00	         1197467.00	        -1197467.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        65295540.01	        60522658.03	         4772881.98	        65295540.01	               0.00
*   Lab Equipments       WBS NL-N-T1E-001-08-01	          451975.80	          451975.80	               0.00	          451975.80	               0.00	          451975.80	          451975.80	               0.00	          451975.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          451975.80	          451975.80	               0.00	          451975.80	               0.00
*   water treatment syst WBS NL-N-T1E-001-08-02	        61969894.85	        59725510.87	         2244383.98	        61969894.85	               0.00	        61969894.85	        59725510.87	         2244383.98	        61969894.85	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        61969894.85	        59725510.87	         2244383.98	        61969894.85	               0.00
*   Multi gas detector   WBS NL-N-T1E-001-08-03	           68440.00	           68440.00	               0.00	           68440.00	               0.00	           68440.00	           68440.00	               0.00	           68440.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           68440.00	           68440.00	               0.00	           68440.00	               0.00
*   Turbidity meter      WBS NL-N-T1E-001-08-04	          191691.00	               0.00	          191691.00	          191691.00	               0.00	          191691.00	               0.00	          191691.00	          191691.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          191691.00	               0.00	          191691.00	          191691.00	               0.00
*   Conductivity meters  WBS NL-N-T1E-001-08-05	          154000.00	          154000.00	               0.00	          154000.00	               0.00	          154000.00	          154000.00	               0.00	          154000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          154000.00	          154000.00	               0.00	          154000.00	               0.00
*   Battery operated tru WBS NL-N-T1E-001-08-06	          932790.00	               0.00	          932790.00	          932790.00	               0.00	          932790.00	               0.00	          932790.00	          932790.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          932790.00	               0.00	          932790.00	          932790.00	               0.00
*   Karl  Fisher Titrato WBS NL-N-T1E-001-08-07	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
    Viscometer/Viscomete WBS NL-N-T1E-001-08-08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Digital meter        WBS NL-N-T1E-001-08-09	          122731.36	          122731.36	               0.00	          122731.36	               0.00	          122731.36	          122731.36	               0.00	          122731.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          122731.36	          122731.36	               0.00	          122731.36	               0.00
*   Dissolved Oxygen met WBS NL-N-T1E-001-08-10	         1197467.00	               0.00	         1197467.00	         1197467.00	               0.00	         1197467.00	               0.00	               0.00	               0.00	         1197467.00	               0.00	               0.00	         1197467.00	         1197467.00	        -1197467.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1197467.00	               0.00	         1197467.00	         1197467.00	               0.00
*   Moisture Analyser    WBS NL-N-T1E-001-08-11	          206550.00	               0.00	          206550.00	          206550.00	               0.00	          206550.00	               0.00	          206550.00	          206550.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          206550.00	               0.00	          206550.00	          206550.00	               0.00
**  Planning             WBS NL-N-T1E-001-09	        32516503.02	         5140546.18	        27375956.84	        32516503.02	               0.00	        32516503.02	         4855106.18	        26415638.84	        31270745.02	         1245758.00	               0.00	          285440.00	          960318.00	         1245758.00	        -1245758.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        32516503.02	         5140546.18	        27375956.84	        32516503.02	               0.00
*   Furniture            WBS NL-N-T1E-001-09-01	          348499.98	          348499.98	               0.00	          348499.98	               0.00	          348499.98	          348499.98	               0.00	          348499.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          348499.98	          348499.98	               0.00	          348499.98	               0.00
*   RTM (PC ,PRINTER,LSD WBS NL-N-T1E-001-09-03	          312597.00	          312597.00	               0.00	          312597.00	               0.00	          312597.00	          312597.00	               0.00	          312597.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          312597.00	          312597.00	               0.00	          312597.00	               0.00
*   CCTV Project         WBS NL-N-T1E-001-09-04	         2470363.08	         2437724.24	           32638.84	         2470363.08	               0.00	         2470363.08	         2437724.24	           32638.84	         2470363.08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2470363.08	         2437724.24	           32638.84	         2470363.08	               0.00
*   PC and accessories   WBS NL-N-T1E-001-09-05	          424800.00	          424800.00	               0.00	          424800.00	               0.00	          424800.00	          424800.00	               0.00	          424800.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          424800.00	          424800.00	               0.00	          424800.00	               0.00
*    Video Conferencing  WBS NL-N-T1E-001-09-06	          531888.00	          531888.00	               0.00	          531888.00	               0.00	          531888.00	          531888.00	               0.00	          531888.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          531888.00	          531888.00	               0.00	          531888.00	               0.00
*   RTM Switch Yard      WBS NL-N-T1E-001-09-07	          243965.00	          243965.00	               0.00	          243965.00	               0.00	          243965.00	          243965.00	               0.00	          243965.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          243965.00	          243965.00	               0.00	          243965.00	               0.00
*   ABT EMS firewall     WBS NL-N-T1E-001-09-08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   IIOT Automation      WBS NL-N-T1E-001-09-10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   CAAQMS               WBS NL-N-T1E-001-09-11	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   CCTV for Plant       WBS NL-N-T1E-001-09-12	        26383000.00	               0.00	        26383000.00	        26383000.00	               0.00	        26383000.00	               0.00	        26383000.00	        26383000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        26383000.00	               0.00	        26383000.00	        26383000.00	               0.00
*   LED Display (3 Nos)  WBS NL-N-T1E-001-09-13	          299956.00	          299956.00	               0.00	          299956.00	               0.00	          299956.00	          299956.00	               0.00	          299956.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          299956.00	          299956.00	               0.00	          299956.00	               0.00
*    LARGE FORMAT DISPLA WBS NL-N-T1E-001-09-14	          541115.96	          541115.96	               0.00	          541115.96	               0.00	          541115.96	          255675.96	               0.00	          255675.96	          285440.00	               0.00	          285440.00	               0.00	          285440.00	         -285440.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          541115.96	          541115.96	               0.00	          541115.96	               0.00
*   LED DISPLAY SOX-NOX  WBS NL-N-T1E-001-09-15	          960318.00	               0.00	          960318.00	          960318.00	               0.00	          960318.00	               0.00	               0.00	               0.00	          960318.00	               0.00	               0.00	          960318.00	          960318.00	         -960318.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          960318.00	               0.00	          960318.00	          960318.00	               0.00
**  HR                   WBS NL-N-T1E-001-10	          410000.00	          410000.00	               0.00	          410000.00	               0.00	          410000.00	          410000.00	               0.00	          410000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          410000.00	          410000.00	               0.00	          410000.00	               0.00
*    Steam Boiler for Ca WBS NL-N-T1E-001-10-01	          410000.00	          410000.00	               0.00	          410000.00	               0.00	          410000.00	          410000.00	               0.00	          410000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          410000.00	          410000.00	               0.00	          410000.00	               0.00
**  SAFETY               WBS NL-N-T1E-001-11	         1652318.00	         1533618.00	          118700.00	         1652318.00	               0.00	         1652318.00	         1533618.00	          118700.00	         1652318.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1652318.00	         1533618.00	          118700.00	         1652318.00	               0.00
*   Safety Equipments    WBS NL-N-T1E-001-11-01	         1329520.00	         1210820.00	          118700.00	         1329520.00	               0.00	         1329520.00	         1210820.00	          118700.00	         1329520.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1329520.00	         1210820.00	          118700.00	         1329520.00	               0.00
*   SMOKE EXTRACOR       WBS NL-N-T1E-001-11-02	          146000.00	          146000.00	               0.00	          146000.00	               0.00	          146000.00	          146000.00	               0.00	          146000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          146000.00	          146000.00	               0.00	          146000.00	               0.00
*   Aluminiun fire suit  WBS NL-N-T1E-001-11-05	          176798.00	          176798.00	               0.00	          176798.00	               0.00	          176798.00	          176798.00	               0.00	          176798.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          176798.00	          176798.00	               0.00	          176798.00	               0.00
*   Torch Light          WBS NL-N-T1E-001-11-06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
**  ENVIRONMENT          WBS NL-N-T1E-001-12	         7198000.00	         7198000.00	               0.00	         7198000.00	               0.00	         7198000.00	         7198000.00	               0.00	         7198000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7198000.00	         7198000.00	               0.00	         7198000.00	               0.00
*   CAAQMS               WBS NL-N-T1E-001-12-01	         7198000.00	         7198000.00	               0.00	         7198000.00	               0.00	         7198000.00	         7198000.00	               0.00	         7198000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7198000.00	         7198000.00	               0.00	         7198000.00	               0.00
**  FGD                  WBS NL-N-T1E-001-13	          354004.50	          210575.50	               0.00	          210575.50	          143429.00	          354004.50	          210575.50	               0.00	          210575.50	          143429.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          354004.50	          210575.50	               0.00	          210575.50	          143429.00
*   Consultancy Services WBS NL-N-T1E-001-13-01	          354004.50	          210575.50	               0.00	          210575.50	          143429.00	          354004.50	          210575.50	               0.00	          210575.50	          143429.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          354004.50	          210575.50	               0.00	          210575.50	          143429.00
