Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (28.04.2025 15:16:52)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   tools and tackles    WBS NL-N-T1E-001-01-21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   RAPH Centrifugal clu WBS NL-N-T1E-001-01-22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   RAPH BEARING SERVICE WBS NL-N-T1E-001-01-24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Safety valve assembl WBS NL-N-T1E-001-01-25	         8788415.99	               0.00	         8788415.99	         8788415.99	               0.00	         8788415.99	               0.00	         8788415.99	         8788415.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         8788415.99	               0.00	         8788415.99	         8788415.99	               0.00
*    Replacement/Rectifi WBS NL-N-T1E-001-01-26	        14715053.50	               0.00	        14715053.50	        14715053.50	               0.00	        14715053.50	               0.00	        14715053.50	        14715053.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14715053.50	               0.00	        14715053.50	        14715053.50	               0.00
*   Replacement of Dameg WBS NL-N-T1E-001-01-27	        14636446.05	         4017863.85	        10618582.20	        14636446.05	               0.00	        14636446.05	         4017863.85	        10618582.20	        14636446.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        14636446.05	         4017863.85	        10618582.20	        14636446.05	               0.00
*   Beater wheel for MIL WBS NL-N-T1E-001-01-28	       150177058.00	               0.00	       150177058.00	       150177058.00	               0.00	       150177058.00	               0.00	       150177058.00	       150177058.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       150177058.00	               0.00	       150177058.00	       150177058.00	               0.00
*   Deep Offset Wrench   WBS NL-N-T1E-001-01-29	           10348.60	           10348.60	               0.00	           10348.60	               0.00	           10348.60	           10348.60	               0.00	           10348.60	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10348.60	           10348.60	               0.00	           10348.60	               0.00
*   Angle grinder&Weldin WBS NL-N-T1E-001-01-31	           49478.29	           49478.29	               0.00	           49478.29	               0.00	           49478.29	           49478.29	               0.00	           49478.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           49478.29	           49478.29	               0.00	           49478.29	               0.00
**  CIVIL                WBS NL-N-T1E-001-02	         5819037.31	         5484885.69	          334151.62	         5819037.31	               0.00	         5819037.31	         5484885.69	               7.63	         5484893.32	          334143.99	               0.00	               0.00	          334143.99	          334143.99	         -334143.99	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5819037.31	         5484885.69	          334151.62	         5819037.31	               0.00
*   LHS Shed             WBS NL-N-T1E-001-02-01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
*   Jeep Shed            WBS NL-N-T1E-001-02-02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
