Budget Updates	Current data (26.11.2025 12:26:23)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-S-CSR-153               Upgradation of PHCs	            1500000	                  0	                  0	                  0	            1500000	            1500000	            1500000	                  0	                  0	                  0	            1500000	            1500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1500000	                  0	                  0	                  0	            1500000	            1500000
5*  PRJ NL-S-CSR-154               Imp. works Gov PHC C	            3000000	                  0	                  0	                  0	            3000000	            3000000	            3000000	                  0	                  0	                  0	            3000000	            3000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3000000	                  0	                  0	                  0	            3000000	            3000000
5*  PRJ NL-S-CSR-155               D.G.Set O2 plant  Vi	            2300000	                  0	                  0	                  0	            2300000	            2300000	            2300000	                  0	                  0	                  0	            2300000	            2300000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2300000	                  0	                  0	                  0	            2300000	            2300000
5*  PRJ NL-S-CSR-156               Ramakrishna Math, Ra	           10000000	                  0	                  0	                  0	           10000000	           10000000	           10000000	                  0	                  0	                  0	           10000000	           10000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10000000	                  0	                  0	                  0	           10000000	           10000000
5*  PRJ NL-S-CSR-157               Consumbales charges	             950000	                  0	               -500	                  0	             949500	             949500	             950000	                  0	               -500	                  0	             949500	             949500	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             950000	                  0	               -500	                  0	             949500	             949500
5*  PRJ NL-S-CSR-158               Tin shed water tank	            2500000	                  0	                  0	                  0	            2500000	            2500000	            2500000	                  0	                  0	                  0	            2500000	            2500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2500000	                  0	                  0	                  0	            2500000	            2500000
5*  PRJ NL-S-CSR-159               OHT & Borewell U.Adh	            3500000	                  0	            -310774	                  0	            3189226	            3189226	            3500000	                  0	            -310774	                  0	            3189226	            3189226	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3500000	                  0	            -310774	                  0	            3189226	            3189226
5*  PRJ NL-S-CSR-160                OHT Mummudicholagan	            2500000	             100000	            -360628	                  0	            2239372	            2239372	            2500000	             100000	            -360628	                  0	            2239372	            2239372	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2500000	             100000	            -360628	                  0	            2239372	            2239372
5*  PRJ NL-S-CSR-161                OHT Borewell Vegako	            3500000	                  0	                  0	                  0	            3500000	            3500000	            3500000	                  0	                  0	                  0	            3500000	            3500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3500000	                  0	                  0	                  0	            3500000	            3500000
5*  PRJ NL-S-CSR-162               OHT borewell Seplant	            4000000	                  0	           -1490054	                  0	            2509946	            2509946	            4000000	                  0	           -1490054	                  0	            2509946	            2509946	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4000000	                  0	           -1490054	                  0	            2509946	            2509946
5*  PRJ NL-S-CSR-164               Revitalisation Borew	            6500000	                  0	                  0	                  0	            6500000	            6500000	            6500000	                  0	                  0	                  0	            6500000	            6500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6500000	                  0	                  0	                  0	            6500000	            6500000
5*  PRJ NL-S-CSR-165               OHT Annavalli  Vazhi	            4000000	                  0	            -698039	                  0	            3301961	            3301961	            4000000	                  0	            -698039	                  0	            3301961	            3301961	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4000000	                  0	            -698039	                  0	            3301961	            3301961
5*  PRJ NL-S-CSR-166               OHT ValliMaduram,Ma.	           11322971	                  0	                  0	                  0	           11322971	           11322971	           11322971	                  0	                  0	                  0	           11322971	           11322971	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11322971	                  0	                  0	                  0	           11322971	           11322971
5*  PRJ NL-S-CSR-167               Drinking water borew	            1500000	                  0	                  0	                  0	            1500000	            1500000	            1500000	                  0	                  0	                  0	            1500000	            1500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1500000	                  0	                  0	                  0	            1500000	            1500000
5*  PRJ NL-S-CSR-168               Toilet blocks,school	            6000000	                  0	                  0	                  0	            6000000	            6000000	            6000000	                  0	                  0	                  0	            6000000	            6000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6000000	                  0	                  0	                  0	            6000000	            6000000
5*  PRJ NL-S-CSR-169               Public Toilet Blocks	           42594000	                  0	          -19903103	                  0	           22690897	                  0	           42594000	                  0	          -19903103	                  0	           22690897	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           42594000	                  0	          -19903103	                  0	           22690897	                  0
5*  PRJ NL-S-CSR-170               swachh iconic places	           10000000	                  0	            -261638	                  0	            9738362	            9738362	           10000000	                  0	            -261638	                  0	            9738362	            9738362	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10000000	                  0	            -261638	                  0	            9738362	            9738362
5*  PRJ NL-S-CSR-171               community toilets @	            3500000	                  0	                  0	                  0	            3500000	            3500000	            3500000	                  0	                  0	                  0	            3500000	            3500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3500000	                  0	                  0	                  0	            3500000	            3500000
5*  PRJ NL-S-CSR-172               Toilets @ Kattukudal	            1258000	                  0	                  0	                  0	            1258000	            1258000	            1258000	                  0	                  0	                  0	            1258000	            1258000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1258000	                  0	                  0	                  0	            1258000	            1258000
5*  PRJ NL-S-CSR-173                6 toilet blocks aro	            4231000	                  0	                  0	                  0	            4231000	            4231000	            4231000	                  0	                  0	                  0	            4231000	            4231000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4231000	                  0	                  0	                  0	            4231000	            4231000
5*  PRJ NL-S-CSR-174               Reimbursement Fee Di	            3000000	                  0	                  0	                  0	            3000000	            3000000	            3000000	                  0	                  0	                  0	            3000000	            3000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3000000	                  0	                  0	                  0	            3000000	            3000000
5*  PRJ NL-S-CSR-175               2 classroom PUMS Paz	            4064000	                  0	                  0	                  0	            4064000	            4064000	            4064000	                  0	                  0	                  0	            4064000	            4064000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4064000	                  0	                  0	                  0	            4064000	            4064000
5*  PRJ NL-S-CSR-176               4 classroom Gov BHSS	            4669000	                  0	                  0	                  0	            4669000	            4669000	            4669000	                  0	                  0	                  0	            4669000	            4669000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4669000	                  0	                  0	                  0	            4669000	            4669000
5*  PRJ NL-S-CSR-177               Compound wall GHS Sa	            1000000	                  0	                  0	                  0	            1000000	            1000000	            1000000	                  0	                  0	                  0	            1000000	            1000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1000000	                  0	                  0	                  0	            1000000	            1000000
5*  PRJ NL-S-CSR-178               Toilets tin shed hal	             500000	                  0	                  0	                  0	             500000	             500000	             500000	                  0	                  0	                  0	             500000	             500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             500000	                  0	                  0	                  0	             500000	             500000
5*  PRJ NL-S-CSR-179               clasroom Vanathiraya	            1887000	                  0	                  0	                  0	            1887000	            1887000	            1887000	                  0	                  0	                  0	            1887000	            1887000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1887000	                  0	                  0	                  0	            1887000	            1887000
5*  PRJ NL-S-CSR-180               Library GHS Melakupp	            7500000	                  0	           -1191367	                  0	            6308633	            6308633	            7500000	                  0	           -1191367	                  0	            6308633	            6308633	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7500000	                  0	           -1191367	                  0	            6308633	            6308633
5*  PRJ NL-S-CSR-181               Reimb. purch Lab equ	           10284000	                  0	             -91061	                  0	           10192939	           10192939	           10284000	                  0	             -91061	                  0	           10192939	           10192939	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10284000	                  0	             -91061	                  0	           10192939	           10192939
5*  PRJ NL-S-CSR-182               Toilet Clasroom GHS	            5787293	                  0	                  0	                  0	            5787293	            5700000	            5787293	                  0	                  0	                  0	            5787293	            5700000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5787293	                  0	                  0	                  0	            5787293	            5700000
5*  PRJ NL-S-CSR-183               2clsroom PU Keelur A	            4500000	                  0	                  0	                  0	            4500000	            4500000	            4500000	                  0	                  0	                  0	            4500000	            4500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4500000	                  0	                  0	                  0	            4500000	            4500000
5*  PRJ NL-S-CSR-184               Fin support SSVMPS B	            8700000	                  0	                  0	                  0	            8700000	            8700000	            8700000	                  0	                  0	                  0	            8700000	            8700000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8700000	                  0	                  0	                  0	            8700000	            8700000
5*  PRJ NL-S-CSR-185               Infrastructure Libra	             700000	                  0	                  0	                  0	             700000	             700000	             700000	                  0	                  0	                  0	             700000	             700000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             700000	                  0	                  0	                  0	             700000	             700000
5*  PRJ NL-S-CSR-186               Infrastructure Middl	             400000	                  0	                  0	                  0	             400000	             400000	             400000	                  0	                  0	                  0	             400000	             400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             400000	                  0	                  0	                  0	             400000	             400000
5*  PRJ NL-S-CSR-187               FA 20 clsroom Govt S	           50000000	                  0	          -50000000	                  0	                  0	                  0	           50000000	                  0	          -50000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           50000000	                  0	          -50000000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-188               2 clsroom PUMS Adaya	            3000000	                  0	                  0	                  0	            3000000	            3000000	            3000000	                  0	                  0	                  0	            3000000	            3000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3000000	                  0	                  0	                  0	            3000000	            3000000
5*  PRJ NL-S-CSR-189               infra Gov school, Sw	            1200000	                  0	                  0	                  0	            1200000	            1200000	            1200000	                  0	                  0	                  0	            1200000	            1200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1200000	                  0	                  0	                  0	            1200000	            1200000
5*  PRJ NL-S-CSR-190               Infra. GHSS Lalamdes	             490000	                  0	                  0	                  0	             490000	             490000	             490000	                  0	                  0	                  0	             490000	             490000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             490000	                  0	                  0	                  0	             490000	             490000
5*  PRJ NL-S-CSR-191               Infra.Gov MahatmaGan	             400000	                  0	                  0	                  0	             400000	             400000	             400000	                  0	                  0	                  0	             400000	             400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             400000	                  0	                  0	                  0	             400000	             400000
5*  PRJ NL-S-CSR-192               FA Atma Deepam Socie	             900000	                  0	                  0	                  0	             900000	             900000	             900000	                  0	                  0	                  0	             900000	             900000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             900000	                  0	                  0	                  0	             900000	             900000
5*  PRJ NL-S-CSR-193               FA VIKS Hyderabad	             700000	                  0	                  0	                  0	             700000	             700000	             700000	                  0	                  0	                  0	             700000	             700000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             700000	                  0	                  0	                  0	             700000	             700000
5*  PRJ NL-S-CSR-194               FA Santhigiri Ashram	             300000	                  0	                  0	                  0	             300000	             300000	             300000	                  0	                  0	                  0	             300000	             300000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             300000	                  0	                  0	                  0	             300000	             300000
5*  PRJ NL-S-CSR-195               Sewing Machines to W	           12400000	                  0	                  0	                  0	           12400000	           12400000	           12400000	                  0	                  0	                  0	           12400000	           12400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12400000	                  0	                  0	                  0	           12400000	           12400000
5*  PRJ NL-S-CSR-196               Redevelopment activi	           49400000	                  0	          -49400000	                  0	                  0	                  0	           49400000	                  0	          -49400000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           49400000	                  0	          -49400000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-197               FA to Guru Institute	           30000000	                  0	          -30000000	                  0	                  0	                  0	           30000000	                  0	          -30000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           30000000	                  0	          -30000000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-198               olympians Sirsa, Jod	           10661000	                  0	          -10293707	                  0	             367293	             367293	           10661000	                  0	          -10293707	                  0	             367293	             367293	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10661000	                  0	          -10293707	                  0	             367293	             367293
5*  PRJ NL-S-CSR-199               olympians Lulkidi, B	           50000000	                  0	          -50000000	                  0	                  0	                  0	           50000000	                  0	          -50000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           50000000	                  0	          -50000000	                  0	                  0	                  0
5*  PRJ NL-S-CSR-200               BT road to Bharathi	            3871000	                  0	                  0	                  0	            3871000	            3871000	            3871000	                  0	                  0	                  0	            3871000	            3871000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3871000	                  0	                  0	                  0	            3871000	            3871000
5*  PRJ NL-S-CSR-201               Community Hall Kolli	            7500000	                  0	            -300000	                  0	            7200000	            7200000	            7500000	                  0	            -300000	                  0	            7200000	            7200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7500000	                  0	            -300000	                  0	            7200000	            7200000
5*  PRJ NL-S-CSR-202               Therkumelur to Vadal	            4000000	                  0	                  0	                  0	            4000000	            4000000	            4000000	                  0	                  0	                  0	            4000000	            4000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4000000	                  0	                  0	                  0	            4000000	            4000000
5*  PRJ NL-S-CSR-203               Community Hall at Me	            7500000	                  0	            -300000	                  0	            7200000	            7200000	            7500000	                  0	            -300000	                  0	            7200000	            7200000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7500000	                  0	            -300000	                  0	            7200000	            7200000
5*  PRJ NL-S-CSR-204               BT Road  Kunankurich	            4000000	                  0	                  0	                  0	            4000000	            4000000	            4000000	                  0	                  0	                  0	            4000000	            4000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4000000	                  0	                  0	                  0	            4000000	            4000000
