Budget Updates	Current data (26.11.2025 12:26:23)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
5*  PRJ NL-C-SOL-002               Solar 50 MW in Mine	         1001000000	          806500000	             -56472	                  0	         1807443528	         1377480845	         1001000000	          806500000	             -56472	                  0	         1377480845	         1377480845	                  0	                  0	                  0	                  0	          429962683	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1001000000	          806500000	             -56472	                  0	         1807443528	         1807426239
5*  PRJ NL-C-SOL-003               200 MW Solar Power G	           10206500	          522175955	         -520059495	                  0	           12322960	            5740013	             206500	          522175955	                  0	                  0	            1590213	            1590213	           10000000	                  0	         -520059495	                  0	           10732748	            4149800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10206500	          522175955	         -520059495	                  0	           12322960	            6472760
5*  PRJ NL-C-SOL-004               100 MW SOLAR (HYBRID	         1350000000	                  0	                  0	                  0	         1350000000	            1176000	         1350000000	                  0	                  0	                  0	            1176000	            1176000	                  0	                  0	                  0	                  0	         1348824000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         1350000000	                  0	                  0	                  0	         1350000000	            1750000
5*  PRJ NL-C-SOL-005               2.5 MW RTS & 1 MW FT	          163900000	                  0	                  0	                  0	          163900000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          163900000	                  0	                  0	                  0	          163900000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          163900000	                  0	                  0	                  0	          163900000	                  0
5*  PRJ NL-C-T22-001               TPS2 Second Expansio	           37078439	        89656362958	          -39212146	                  0	        89654229251	        89647717067	           20235653	           56362958	          -39212146	                  0	           36461700	           36461700	           16842786	        89600000000	                  0	                  0	        89617767551	        89611255367	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           37078439	        89656362958	          -39212146	                  0	        89654229251	        89647717067
5*  PRJ NL-C-T2E-001               Performance Improvem	         2117034096	                  0	          -50038509	                  0	         2066995587	          932745285	         1058534096	                  0	                  0	                  0	          919574789	          919574789	         1058500000	                  0	          -50038509	                  0	         1147420798	           13170496	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         2117034096	                  0	          -50038509	                  0	         2066995587	         1009516083
5*  PRJ NL-C-TAA-001               Mini Smart City	          173380000	                  0	                  0	                  0	          173380000	           42639688	          173380000	                  0	                  0	                  0	            6139688	            6139688	                  0	                  0	                  0	                  0	          167240313	           36500000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          173380000	                  0	                  0	                  0	          173380000	           47960750
5*  PRJ NL-C-TPP-001               NLC Talabira Thermal	         7270100000	        12093386840	        -6609314438	                  0	        12754172402	        10959082543	         2010100000	         8665386840	        -5447241724	                  0	         2548966718	         2548813318	         5260000000	         3428000000	        -1162072714	                  0	        10205205684	         8410269225	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         7270100000	        12093386840	        -6609314438	                  0	        12754172402	        12471143704
5*  PRJ NL-C-TPP-002               NLC TTPP Main Packag	         5129690000	         5500000000	        -1034021226	                  0	         9595668774	         9591668774	         1529690000	         5500000000	        -1034021226	                  0	         5995668774	         5995668774	         3600000000	                  0	                  0	                  0	         3600000000	         3596000000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	         5129690000	         5500000000	        -1034021226	                  0	         9595668774	         9591668774
5*  PRJ NL-C-TS1-001               TS I Switchyard Modi	          310620691	                  0	              -7744	                  0	          310612948	          302333943	          310620691	                  0	              -7744	                  0	          310612948	          302333943	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          310620691	                  0	              -7744	                  0	          310612948	          310607948
5*  PRJ NL-C-WND-001               Wind Turbine Project	           23203970	                  0	                  0	                  0	           23203970	           18416660	           23203970	                  0	                  0	                  0	           23203970	           18416660	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           23203970	                  0	                  0	                  0	           23203970	           23020825
