Budget/Actual/Commitmt/Rem.Plan/Assigned	Current data (22.04.2025 15:50:40)
 Plan version        0     Plan/Act - Version
	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2028 and Following	2028 and Following	2028 and Following	2028 and Following	2028 and Following	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available	Budget	Actual	Commitment	Assigned	Available
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
    Engine for Water spr WBS NL-N-MES-001-01-34	         9701333.23	         8537173.26	         1164159.97	         9701333.23	               0.00	         9701333.23	         8537173.26	         1164159.97	         9701333.23	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9701333.23	         8537173.26	         1164159.97	         9701333.23	               0.00
    Engine for C Crane   WBS NL-N-MES-001-01-35	         9451690.02	         8101043.52	         1350646.50	         9451690.02	               0.00	         9451690.02	         8101043.52	         1350646.50	         9451690.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         9451690.02	         8101043.52	         1350646.50	         9451690.02	               0.00
    Transmission assembl WBS NL-N-MES-001-01-36	         3689512.05	         3689512.05	               0.00	         3689512.05	               0.00	         3689512.05	         3689512.05	               0.00	         3689512.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3689512.05	         3689512.05	               0.00	         3689512.05	               0.00
    6BT 5.9C Engines for WBS NL-N-MES-001-01-37	         4329912.02	         4329912.02	               0.00	         4329912.02	               0.00	         4329912.02	         4329912.02	               0.00	         4329912.02	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         4329912.02	         4329912.02	               0.00	         4329912.02	               0.00
    Transmission assembl WBS NL-N-MES-001-01-38	         5941300.00	               0.00	         5941300.00	         5941300.00	               0.00	         5941300.00	               0.00	               0.00	               0.00	         5941300.00	               0.00	               0.00	         5941300.00	         5941300.00	        -5941300.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         5941300.00	               0.00	         5941300.00	         5941300.00	               0.00
    Transmission assembl WBS NL-N-MES-001-01-39	         3200160.00	               0.00	         3200160.00	         3200160.00	               0.00	         3200160.00	               0.00	               0.00	               0.00	         3200160.00	               0.00	               0.00	         3200160.00	         3200160.00	        -3200160.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3200160.00	               0.00	         3200160.00	         3200160.00	               0.00
    Transmission Assembl WBS NL-N-MES-001-01-40	         6823600.01	         3411800.01	         3411800.00	         6823600.01	               0.00	         6823600.01	               0.00	               0.00	               0.00	         6823600.01	               0.00	         3411800.01	         3411800.00	         6823600.01	        -6823600.01	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         6823600.01	         3411800.01	         3411800.00	         6823600.01	               0.00
    AC for RCS Operator  WBS NL-N-MES-001-01-41	         1356799.92	               0.00	         1356799.92	         1356799.92	               0.00	         1356799.92	               0.00	               0.00	               0.00	         1356799.92	               0.00	               0.00	         1356799.92	         1356799.92	        -1356799.92	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1356799.92	               0.00	         1356799.92	         1356799.92	               0.00
    Tyre Dismantler      WBS NL-N-MES-001-01-43	        12247338.00	               0.00	        12247338.00	        12247338.00	               0.00	        12247338.00	               0.00	        12247338.00	        12247338.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        12247338.00	               0.00	        12247338.00	        12247338.00	               0.00
    HEMM HIGH PRESSURE J WBS NL-N-MES-001-01-44	          750000.00	               0.00	          750000.00	          750000.00	               0.00	          750000.00	               0.00	          750000.00	          750000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          750000.00	               0.00	          750000.00	          750000.00	               0.00
    Portable Diesel Gene WBS NL-N-MES-001-01-45	           37000.00	               0.00	           37000.00	           37000.00	               0.00	           37000.00	               0.00	           37000.00	           37000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           37000.00	               0.00	           37000.00	           37000.00	               0.00
    Pick & Carry Crane 2 WBS NL-N-MES-001-01-46	        13440200.00	               0.00	        13440200.00	        13440200.00	               0.00	        13440200.00	               0.00	         2688040.00	         2688040.00	        10752160.00	               0.00	               0.00	        10752160.00	        10752160.00	       -10752160.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        13440200.00	               0.00	        13440200.00	        13440200.00	               0.00
    PIPE CUTTER WITH RAT WBS NL-N-MES-001-01-47	           23897.98	               0.00	           23897.98	           23897.98	               0.00	           23897.98	               0.00	               0.00	               0.00	           23897.98	               0.00	               0.00	           23897.98	           23897.98	          -23897.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           23897.98	               0.00	           23897.98	           23897.98	               0.00
*   Mine I A             WBS NL-N-MES-001-02	       871222313.17	       768802141.64	       102420171.51	       871222313.15	               0.02	       871222313.17	       727080631.68	        26674587.82	       753755219.50	       117467093.67	               0.00	        41721509.96	        75745583.69	       117467093.65	      -117467093.65	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       871222313.17	       768802141.64	       102420171.51	       871222313.15	               0.02
    Dozer not less than  WBS NL-N-MES-001-02-01	        34128672.24	        34128672.24	               0.00	        34128672.24	               0.00	        34128672.24	        34128672.24	               0.00	        34128672.24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        34128672.24	        34128672.24	               0.00	        34128672.24	               0.00
    C-Cranes – 4Nos.     WBS NL-N-MES-001-02-02	       184973409.55	       180495291.42	         4478118.13	       184973409.55	               0.00	       184973409.55	       162582818.92	               0.00	       162582818.92	        22390590.63	               0.00	        17912472.50	         4478118.13	        22390590.63	       -22390590.63	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	       184973409.55	       180495291.42	         4478118.13	       184973409.55	               0.00
