Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
*   WBS NL-N-TS2-002-05-01-27      ABG- COMPLETE SET OF	            2551837	                  0	                  0	                  0	            2551837	             238059	            2551837	                  0	                  0	                  0	             238059	             238059	                  0	                  0	                  0	                  0	            2313778	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2551837	                  0	                  0	                  0	            2551837	            2551837
*   WBS NL-N-TS2-002-05-01-28      ABG-ROLLER-305MM	            1114270	                  0	                  0	                  0	            1114270	            1114270	            1114270	                  0	                  0	                  0	            1114270	            1114270	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1114270	                  0	                  0	                  0	            1114270	            1114270
*   WBS NL-N-TS2-002-05-01-29      ABG-ROLLER-355MM	            2659233	                  0	                  0	                  0	            2659233	            2023195	            2659233	                  0	                  0	                  0	            2023195	            2023195	                  0	                  0	                  0	                  0	             636038	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2659233	                  0	                  0	                  0	            2659233	            2659233
*   WBS NL-N-TS2-002-05-01-30      IMPORTED ROUND LINK	           40740000	                  0	                  0	                  0	           40740000	                  0	           40740000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           40740000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           40740000	                  0	                  0	                  0	           40740000	           40740000
*   WBS NL-N-TS2-002-05-01-31      SEVEN NO OF ABG OVER	            7655378	                  0	                  0	                  0	            7655378	            7655378	            5152119	                  0	                  0	                  0	                  0	                  0	            2503259	                  0	                  0	                  0	            7655378	            7655378	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7655378	                  0	                  0	                  0	            7655378	            7655378
*   WBS NL-N-TS2-002-05-01-32      ABG TENSION GUIDE DR	            5641147	                  0	                  0	                  0	            5641147	                  0	            5641147	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5641147	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5641147	                  0	                  0	                  0	            5641147	            5641147
*   WBS NL-N-TS2-002-05-01-33      GEAR BOX MOTOR	            3538818	                  0	                  0	                  0	            3538818	                  0	            3538818	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3538818	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3538818	                  0	                  0	                  0	            3538818	            3538818
*   WBS NL-N-TS2-002-05-01-34      i/p pinion shaft for	            1581790	                  0	                  0	                  0	            1581790	            1581790	                  0	                  0	                  0	                  0	                  0	                  0	            1581790	                  0	                  0	                  0	            1581790	            1581790	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1581790	                  0	                  0	                  0	            1581790	            1581790
**  WBS NL-N-TS2-002-05-02         MILL MAINTENANCE	          219374252	                  0	                  0	                  0	          219374252	          215913196	           91230054	                  0	                  0	                  0	           78941529	           78641400	          128144198	                  0	                  0	                  0	          140432723	          137271796	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          219374252	                  0	                  0	                  0	          219374252	          219374252
*   WBS NL-N-TS2-002-05-02-01      MILLS AND PF DUCTS	           21074260	                  0	                  0	                  0	           21074260	           20507860	           21074260	                  0	                  0	                  0	           20507860	           20507860	                  0	                  0	                  0	                  0	             566400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           21074260	                  0	                  0	                  0	           21074260	           21074260
*   WBS NL-N-TS2-002-05-02-02      Helical Spring &Visc	            8138236	                  0	                  0	                  0	            8138236	            8138236	            8138236	                  0	                  0	                  0	            8138236	            8138236	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8138236	                  0	                  0	                  0	            8138236	            8138236
*   WBS NL-N-TS2-002-05-02-03      Mill double bearing	             890100	                  0	                  0	                  0	             890100	             890100	             890100	                  0	                  0	                  0	             890100	             890100	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             890100	                  0	                  0	                  0	             890100	             890100
*   WBS NL-N-TS2-002-05-02-04      PF Duct lifting & Al	            2320200	                  0	                  0	                  0	            2320200	            1486800	            2320200	                  0	                  0	                  0	            1486800	            1486800	                  0	                  0	                  0	                  0	             833400	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2320200	                  0	                  0	                  0	            2320200	            2320200
*   WBS NL-N-TS2-002-05-02-05      replace of spring un	            2534640	                  0	                  0	                  0	            2534640	            2534640	            2534640	                  0	                  0	                  0	            2534640	            2534640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2534640	                  0	                  0	                  0	            2534640	            2534640
*   WBS NL-N-TS2-002-05-02-06      Replace recti classi	            4697547	                  0	                  0	                  0	            4697547	            2636292	            4697547	                  0	                  0	                  0	            2936420	            2636292	                  0	                  0	                  0	                  0	            1761127	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4697547	                  0	                  0	                  0	            4697547	            4697547
*   WBS NL-N-TS2-002-05-02-07      Spring unit/visco da	            8299187	                  0	                  0	                  0	            8299187	            8299187	            8299187	                  0	                  0	                  0	            8299187	            8299187	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8299187	                  0	                  0	                  0	            8299187	            8299187
*   WBS NL-N-TS2-002-05-02-08      Replace of Spring Vi	            2534640	                  0	                  0	                  0	            2534640	            2534640	            2534640	                  0	                  0	                  0	            2534640	            2534640	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2534640	                  0	                  0	                  0	            2534640	            2534640
*   WBS NL-N-TS2-002-05-02-09      Mill Door seal colla	           11446000	                  0	                  0	                  0	           11446000	           11446000	           11446000	                  0	                  0	                  0	           11446000	           11446000	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           11446000	                  0	                  0	                  0	           11446000	           11446000
*   WBS NL-N-TS2-002-05-02-10      Voith Turbo/EPK Conn	            9612273	                  0	                  0	                  0	            9612273	            9612273	            9612273	                  0	                  0	                  0	            9612273	            9612273	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            9612273	                  0	                  0	                  0	            9612273	            9612273
*   WBS NL-N-TS2-002-05-02-11      MILL DOUBLE BEARING	           10555373	                  0	                  0	                  0	           10555373	           10555373	           10555373	                  0	                  0	                  0	           10555373	           10555373	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           10555373	                  0	                  0	                  0	           10555373	           10555373
*   WBS NL-N-TS2-002-05-02-12      REVAMPING-MILL DOOR	            5858700	                  0	                  0	                  0	            5858700	            5858700	            4965000	                  0	                  0	                  0	                  0	                  0	             893700	                  0	                  0	                  0	            5858700	            5858700	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            5858700	                  0	                  0	                  0	            5858700	            5858700
*   WBS NL-N-TS2-002-05-02-13      PROC-MILL DOUBLE BEA	            4809264	                  0	                  0	                  0	            4809264	            4809264	            4162598	                  0	                  0	                  0	                  0	                  0	             646666	                  0	                  0	                  0	            4809264	            4809264	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4809264	                  0	                  0	                  0	            4809264	            4809264
*   WBS NL-N-TS2-002-05-02-14      Mill Door Puller 4 S	            2284052	                  0	                  0	                  0	            2284052	            2284052	                  0	                  0	                  0	                  0	                  0	                  0	            2284052	                  0	                  0	                  0	            2284052	            2284052	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2284052	                  0	                  0	                  0	            2284052	            2284052
*   WBS NL-N-TS2-002-05-02-15      Instln BW Mill asmbl	          116631200	                  0	                  0	                  0	          116631200	          116631200	                  0	                  0	                  0	                  0	                  0	                  0	          116631200	                  0	                  0	                  0	          116631200	          116631200	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          116631200	                  0	                  0	                  0	          116631200	          116631200
*   WBS NL-N-TS2-002-05-02-16      Voith fluid coup for	            7688580	                  0	                  0	                  0	            7688580	            7688580	                  0	                  0	                  0	                  0	                  0	                  0	            7688580	                  0	                  0	                  0	            7688580	            7688580	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7688580	                  0	                  0	                  0	            7688580	            7688580
**  WBS NL-N-TS2-002-05-03         PRESSURE PARTS	          692133491	                  0	                  0	                  0	          692133491	          204333840	          679815637	                  0	                  0	                  0	          121168646	          121168646	           12317855	                  0	                  0	                  0	          570964846	           83165195	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	          692133491	                  0	                  0	                  0	          692133491	          692118668
*   WBS NL-N-TS2-002-05-03-04      Drum Safety Valves (	            7404920	                  0	                  0	                  0	            7404920	            7404920	            7404920	                  0	                  0	                  0	            7404920	            7404920	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7404920	                  0	                  0	                  0	            7404920	            7404920
*   WBS NL-N-TS2-002-05-03-06      Temperature Control	            2257641	                  0	                  0	                  0	            2257641	                  0	            2257641	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2257641	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2257641	                  0	                  0	                  0	            2257641	            2257641
*   WBS NL-N-TS2-002-05-03-09      Water Lance Pump	            1813851	                  0	                  0	                  0	            1813851	            1813851	            1813851	                  0	                  0	                  0	            1813851	            1813851	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1813851	                  0	                  0	                  0	            1813851	            1813851
*   WBS NL-N-TS2-002-05-03-12      Automatic Stress Rel	             372880	                  0	                  0	                  0	             372880	             372880	             372880	                  0	                  0	                  0	             372880	             372880	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             372880	                  0	                  0	                  0	             372880	             372880
*   WBS NL-N-TS2-002-05-03-13      Portable Rebound Har	             198240	                  0	                  0	                  0	             198240	             198240	             198240	                  0	                  0	                  0	             198240	             198240	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             198240	                  0	                  0	                  0	             198240	             198240
*   WBS NL-N-TS2-002-05-03-14      Water Wall Tube & Pa	             595146	                  0	                  0	                  0	             595146	             595146	             595146	                  0	                  0	                  0	             595146	             595146	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             595146	                  0	                  0	                  0	             595146	             595146
*   WBS NL-N-TS2-002-05-03-16      Water Wall Tube,Pane	            1651571	                  0	                  0	                  0	            1651571	            1651571	            1651571	                  0	                  0	                  0	            1651571	            1651571	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1651571	                  0	                  0	                  0	            1651571	            1651571
*   WBS NL-N-TS2-002-05-03-17      Replace of Drain,Ven	            3803066	                  0	                  0	                  0	            3803066	            3788243	            3788243	                  0	                  0	                  0	            1013664	            1013664	              14823	                  0	                  0	                  0	            2789401	            2774578	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            3803066	                  0	                  0	                  0	            3803066	            3788243
*   WBS NL-N-TS2-002-05-03-18      Replacement of WW Pa	            2204377	                  0	                  0	                  0	            2204377	            2204377	            2204377	                  0	                  0	                  0	            2204377	            2204377	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2204377	                  0	                  0	                  0	            2204377	            2204377
*   WBS NL-N-TS2-002-05-03-19      HRH Safety Valve Tap	            1828206	                  0	                  0	                  0	            1828206	            1828206	            1828206	                  0	                  0	                  0	            1828206	            1828206	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1828206	                  0	                  0	                  0	            1828206	            1828206
*   WBS NL-N-TS2-002-05-03-24      Safety Valve Spares	            2088271	                  0	                  0	                  0	            2088271	            2088271	            2088271	                  0	                  0	                  0	            2088271	            2088271	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2088271	                  0	                  0	                  0	            2088271	            2088271
*   WBS NL-N-TS2-002-05-03-25      Thickness Survey -Bo	            1258353	                  0	                  0	                  0	            1258353	            1258353	            1258353	                  0	                  0	                  0	            1258353	            1258353	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1258353	                  0	                  0	                  0	            1258353	            1258353
*   WBS NL-N-TS2-002-05-03-26      Replacement of WW Pa	           13658204	                  0	                  0	                  0	           13658204	           13658204	           13658204	                  0	                  0	                  0	           13658204	           13658204	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13658204	                  0	                  0	                  0	           13658204	           13658204
*   WBS NL-N-TS2-002-05-03-27      Refractory Work insi	            1387542	                  0	                  0	                  0	            1387542	            1387542	            1387542	                  0	                  0	                  0	            1387542	            1387542	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1387542	                  0	                  0	                  0	            1387542	            1387542
*   WBS NL-N-TS2-002-05-03-29      Procurement of fuel	            6590011	                  0	                  0	                  0	            6590011	            6584694	            6590011	                  0	                  0	                  0	            6584694	            6584694	                  0	                  0	                  0	                  0	               5317	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            6590011	                  0	                  0	                  0	            6590011	            6590011
*   WBS NL-N-TS2-002-05-03-30      Replacement of Insul	           74278331	                  0	                  0	                  0	           74278331	           30300223	           74278331	                  0	                  0	                  0	           30300223	           30300223	                  0	                  0	                  0	                  0	           43978108	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           74278331	                  0	                  0	                  0	           74278331	           74278331
*   WBS NL-N-TS2-002-05-03-31      Procurement of FCS M	            2485080	                  0	                  0	                  0	            2485080	            2485080	            2485080	                  0	                  0	                  0	            2485080	            2485080	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2485080	                  0	                  0	                  0	            2485080	            2485080
*   WBS NL-N-TS2-002-05-03-32      Hopper S type &Corne	            7375592	                  0	                  0	                  0	            7375592	            7375592	            7375592	                  0	                  0	                  0	            7375592	            7375592	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7375592	                  0	                  0	                  0	            7375592	            7375592
*   WBS NL-N-TS2-002-05-03-33      Replacement of ECO o	            7523680	                  0	                  0	                  0	            7523680	            5168282	            7523680	                  0	                  0	                  0	            5168282	            5168282	                  0	                  0	                  0	                  0	            2355398	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            7523680	                  0	                  0	                  0	            7523680	            7523680
*   WBS NL-N-TS2-002-05-03-34      Water lance casing T	             547054	                  0	                  0	                  0	             547054	             547054	             547054	                  0	                  0	                  0	             547054	             547054	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             547054	                  0	                  0	                  0	             547054	             547054
*   WBS NL-N-TS2-002-05-03-35      Procurement of FAS M	            2450860	                  0	                  0	                  0	            2450860	            2450860	            2450860	                  0	                  0	                  0	            2450860	            2450860	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2450860	                  0	                  0	                  0	            2450860	            2450860
*   WBS NL-N-TS2-002-05-03-37      Replacement of HRH S	            1568696	                  0	                  0	                  0	            1568696	            1105896	            1568696	                  0	                  0	                  0	            1105896	            1105896	                  0	                  0	                  0	                  0	             462800	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1568696	                  0	                  0	                  0	            1568696	            1568696
*   WBS NL-N-TS2-002-05-03-38      Replacement of HRH S	             552948	                  0	                  0	                  0	             552948	             552948	             552948	                  0	                  0	                  0	             552948	             552948	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             552948	                  0	                  0	                  0	             552948	             552948
*   WBS NL-N-TS2-002-05-03-39      Procurement of SSB C	            1894450	                  0	                  0	                  0	            1894450	            1894450	            1894450	                  0	                  0	                  0	            1894450	            1894450	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1894450	                  0	                  0	                  0	            1894450	            1894450
*   WBS NL-N-TS2-002-05-03-40      Procu of St-II SSB P	            4773265	                  0	                  0	                  0	            4773265	            4773265	            4773265	                  0	                  0	                  0	            4773265	            4773265	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            4773265	                  0	                  0	                  0	            4773265	            4773265
