Budget Updates	Current data (26.11.2025 12:36:30)
	Total of years	Total of years	Total of years	Total of years	Total of years	Total of years	Previous years	Previous years	Previous years	Previous years	Previous years	Previous years	2025	2025	2025	2025	2025	2025	2026	2026	2026	2026	2026	2026	2027	2027	2027	2027	2027	2027	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	2028 and following	Overall values	Overall values	Overall values	Overall values	Overall values	Overall values
Object	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release	Orig.bud.	Supplement	Return	Transfer	Curr.Bdgt	Release
Displayed in	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR	1 INR
**  WBS NL-N-TS2-002-02-13         Providing golvelume	            1517071	                  0	                  0	                  0	            1517071	            1517071	            1517071	                  0	                  0	                  0	            1517071	            1517071	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1517071	                  0	                  0	                  0	            1517071	            1517071
**  WBS NL-N-TS2-002-02-17         Restoration  sheets	           13027194	                  0	                  0	                  0	           13027194	           12449037	           13027194	                  0	                  0	                  0	           12449037	           12449037	                  0	                  0	                  0	                  0	             578157	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           13027194	                  0	                  0	                  0	           13027194	           13027194
**  WBS NL-N-TS2-002-02-18         Restoration sheet  B	           12685552	                  0	                  0	                  0	           12685552	           12685552	           12685552	                  0	                  0	                  0	           12685552	           12685552	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           12685552	                  0	                  0	                  0	           12685552	           12685552
**  WBS NL-N-TS2-002-02-21         Installation&Commiss	           14181240	                  0	                  0	                  0	           14181240	            7944114	           14181240	                  0	                  0	                  0	            7944114	            7944114	                  0	                  0	                  0	                  0	            6237126	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           14181240	                  0	                  0	                  0	           14181240	           14181240
**  WBS NL-N-TS2-002-02-22         Upgraditaion of Weig	             443810	                  0	                  0	                  0	             443810	             443810	             443810	                  0	                  0	                  0	             443810	             443810	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	             443810	                  0	                  0	                  0	             443810	             443810
**  WBS NL-N-TS2-002-02-24         Retrofit outside pla	           19026910	                  0	                  0	                  0	           19026910	           18928675	           19026910	                  0	                  0	                  0	           18928675	           18928675	                  0	                  0	                  0	                  0	              98235	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	           19026910	                  0	                  0	                  0	           19026910	           19026910
**  WBS NL-N-TS2-002-02-25         Laterite Platform fo	            8065283	                  0	                  0	                  0	            8065283	            8065283	            8065283	                  0	                  0	                  0	            8065283	            8065283	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            8065283	                  0	                  0	                  0	            8065283	            8065283
**  WBS NL-N-TS2-002-02-26         Civil & Structural w	            1619422	                  0	                  0	                  0	            1619422	            1619422	            1619422	                  0	                  0	                  0	            1619422	            1619422	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1619422	                  0	                  0	                  0	            1619422	            1619422
**  WBS NL-N-TS2-002-02-27         Cover Shed for ESP T	            1719386	                  0	                  0	                  0	            1719386	            1719386	            1719386	                  0	                  0	                  0	            1719386	            1719386	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            1719386	                  0	                  0	                  0	            1719386	            1719386
**  WBS NL-N-TS2-002-02-28         Unit-5 Lift enclose	            2921029	                  0	                  0	                  0	            2921029	            2520119	            2921029	                  0	                  0	                  0	            2520119	            2520119	                  0	                  0	                  0	                  0	             400910	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	                  0	            2921029	                  0	                  0	                  0	            2921029	            2921029
